domain,split_regime,layer,null_family,n_seed_runs,mean_h1_observed_geodesic,mean_h1_null,mean_h1_delta_observed_minus_null,frac_seed_runs_h1_delta_positive,fisher_stat_h1_upper,fisher_p_h1_upper,mean_distortion_observed,mean_distortion_null,mean_distortion_delta_observed_minus_null,fisher_stat_distortion_lower,fisher_p_distortion_lower,mean_knn_k,bridged_runs,mean_edge_hist_l1_ratio
immune,source_disjoint,5,degree_preserving_geodesic_rewire,3,16.89072068532308,28.604828278223675,-11.714107592900595,0.0,-0.0,1.0,1.270155881150774,1.0784397738706744,0.1917161072800996,-0.0,1.0,40.0,3,0.32614340099889366
immune,source_disjoint,5,quantile_constrained_geodesic_rewire,3,16.89072068532308,29.578050088882446,-12.687329403559367,0.0,-0.0,1.0,1.270155881150774,1.0772855776521213,0.1928703034986529,-0.0,1.0,40.0,3,0.31433190119236043
immune,source_disjoint,6,degree_preserving_geodesic_rewire,3,15.264299313227335,27.39004874229431,-12.125749429066977,0.0,-0.0,1.0,1.3019143370122608,1.0689722966745128,0.2329420403377478,-0.0,1.0,40.0,3,0.32473327607094066
immune,source_disjoint,6,quantile_constrained_geodesic_rewire,3,15.264299313227335,26.870926332473754,-11.60662701924642,0.0,-0.0,1.0,1.3019143370122608,1.0686691213985506,0.23324521561371006,-0.0,1.0,40.0,3,0.312463520937955
immune,source_disjoint,7,degree_preserving_geodesic_rewire,3,17.749125321706135,30.000767548878986,-12.251642227172852,0.0,-0.0,1.0,1.3083670656018176,1.0889556952595012,0.2194113703423163,-0.0,1.0,40.0,3,0.32540344500080637
immune,source_disjoint,7,quantile_constrained_geodesic_rewire,3,17.749125321706135,29.412938658396403,-11.663813336690268,0.0,-0.0,1.0,1.3083670656018176,1.087299498128998,0.2210675674728196,-0.0,1.0,40.0,3,0.3127370187434395
immune,source_disjoint,8,degree_preserving_geodesic_rewire,3,15.854814529418945,27.181257232030234,-11.326442702611288,0.0,-0.0,1.0,1.285836823316214,1.0783746340825535,0.20746218923366078,-0.0,1.0,40.0,3,0.3255963048609331
immune,source_disjoint,8,quantile_constrained_geodesic_rewire,3,15.854814529418945,27.742354933420813,-11.887540404001873,0.0,-0.0,1.0,1.285836823316214,1.0770400815770067,0.20879674173920745,-0.0,1.0,40.0,3,0.31149578871541656
immune,source_disjoint,9,degree_preserving_geodesic_rewire,3,14.634238640467325,24.68718605041504,-10.052947409947713,0.0,-0.0,1.0,1.2596420178545789,1.087870913185786,0.17177110466879308,-0.0,1.0,40.0,3,0.3301522022270687
immune,source_disjoint,9,quantile_constrained_geodesic_rewire,3,14.634238640467325,23.356918851534527,-8.7226802110672,0.0,-0.0,1.0,1.2596420178545789,1.0864651466986421,0.17317687115593694,-0.0,1.0,40.0,3,0.3146335862577235
immune,source_disjoint,10,degree_preserving_geodesic_rewire,3,9.417021632194519,18.421949179967246,-9.004927547772725,0.0,-0.0,1.0,1.1674012000180045,1.0799868559225159,0.08741434409548858,-0.0,1.0,40.0,3,0.32621644411268197
immune,source_disjoint,10,quantile_constrained_geodesic_rewire,3,9.417021632194519,17.759924379984536,-8.342902747790019,0.0,-0.0,1.0,1.1674012000180045,1.078957884256106,0.08844331576189846,-0.0,1.0,40.0,3,0.3124514883104455
immune,source_disjoint,11,degree_preserving_geodesic_rewire,3,8.490783929824829,15.301314306259153,-6.810530376434326,0.0,-0.0,1.0,1.1840021326865953,1.0728185258263176,0.1111836068602774,-0.0,1.0,40.0,3,0.3201968630641498
immune,source_disjoint,11,quantile_constrained_geodesic_rewire,3,8.490783929824829,13.839565110206602,-5.348781180381774,0.0,-0.0,1.0,1.1840021326865953,1.0717717255101025,0.1122304071764925,-0.0,1.0,40.0,3,0.31183629754916653
immune,target_disjoint,0,degree_preserving_geodesic_rewire,3,2.491921583811442,32.701821358998615,-30.20989977518717,0.0,-0.0,1.0,1.4694813085551253,1.1274986205597557,0.3419826879953696,3.58351893845611,0.7328267445020427,26.666666666666668,0,0.15084685210458326
immune,target_disjoint,0,quantile_constrained_geodesic_rewire,3,2.491921583811442,35.098019440968834,-32.60609785715739,0.0,-0.0,1.0,1.4694813085551253,1.1278739173119086,0.34160739124321676,3.58351893845611,0.7328267445020427,26.666666666666668,0,0.15195588345149116
immune,target_disjoint,1,degree_preserving_geodesic_rewire,3,1.7423043162892309,30.028227392832438,-28.28592307654321,0.0,-0.0,1.0,1.4951886278028488,1.155590689786868,0.33959793801598087,3.58351893845611,0.7328267445020427,29.666666666666668,0,0.1494663158922597
