domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,knn_bucket,used_component_bridging,h1_observed_geodesic,distortion_observed,null_family,n_null_draws,rewire_attempts_total,mean_edge_hist_l1_ratio,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_z_observed_minus_null,h1_p_perm_upper,distortion_null_mean,distortion_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed44,source_disjoint,8,2470,150,14,40,k_gt_30,True,13.996434688568115,1.2689358171936558,degree_preserving_geodesic_rewire,5,5,0.32621553884711785,28.65200252532959,2.2217838140426225,-14.655567836761474,-6.596306867272918,1.0,1.1041607293928288,0.0016767061043351152,0.16477508780082695,98.27303014032806,1.0
immune,seed42_main,source_disjoint,8,2470,150,14,40,k_gt_30,True,18.728093147277832,1.3330289854105593,quantile_constrained_geodesic_rewire,5,5,0.31474407944996174,28.936011648178102,1.9283517208221503,-10.20791850090027,-5.293597835593259,1.0,1.0644851164954954,0.0007737004855735483,0.2685438689150639,347.08976772351826,1.0
immune,seed43,source_disjoint,8,2470,150,14,40,k_gt_30,True,14.839915752410889,1.2555456673444274,quantile_constrained_geodesic_rewire,5,5,0.3065603293028042,27.50790591239929,2.726925115271196,-12.667990159988403,-4.6455218313111,1.0,1.0637605461961077,0.0011872031541565557,0.1917851211483197,161.5435057878252,1.0
immune,seed44,source_disjoint,8,2470,150,14,40,k_gt_30,True,13.996434688568115,1.2689358171936558,quantile_constrained_geodesic_rewire,5,5,0.3131829573934837,26.783147239685057,2.3250940874982615,-12.786712551116942,-5.499438760078591,1.0,1.102874582039417,0.0014804594957350079,0.16606123515423876,112.16863646996129,1.0
immune,seed42_main,source_disjoint,9,2470,150,14,40,k_gt_30,True,17.872504949569702,1.274277029789084,degree_preserving_geodesic_rewire,5,5,0.3292601185872647,26.702983140945435,2.1615054551230846,-8.830478191375732,-4.0853369887921716,1.0,1.0663462265370554,0.0012614661026352845,0.20793080325202862,164.83252144875442,1.0
immune,seed43,source_disjoint,9,2470,150,14,40,k_gt_30,True,14.368863582611084,1.2602972948372795,degree_preserving_geodesic_rewire,5,5,0.3278969957081545,23.154650688171387,2.608653269400859,-8.785787105560303,-3.367939773847459,1.0,1.09605755926474,0.001230825757779544,0.16423973557253957,133.4385481420911,1.0
immune,seed44,source_disjoint,9,2470,150,14,40,k_gt_30,True,11.661347389221191,1.2443517289373736,degree_preserving_geodesic_rewire,5,5,0.3332994923857868,24.203924322128294,2.8927517370317495,-12.542576932907103,-4.335863588985748,1.0,1.1012089537555625,0.0009306917243017782,0.14314277518181107,153.80240056050644,1.0
immune,seed42_main,source_disjoint,9,2470,150,14,40,k_gt_30,True,17.872504949569702,1.274277029789084,quantile_constrained_geodesic_rewire,5,5,0.31430781129157004,24.65827250480652,2.0013897389847406,-6.785767555236816,-3.3905278015907854,1.0,1.065179983668331,0.0011319977748372645,0.20909704612075286,184.7149049704692,1.0
immune,seed43,source_disjoint,9,2470,150,14,40,k_gt_30,True,14.368863582611084,1.2602972948372795,quantile_constrained_geodesic_rewire,5,5,0.3144660439283009,23.85780279636383,2.2114300506769036,-9.488939213752747,-4.290861113403694,1.0,1.0949079692961092,0.001827591977728239,0.16538932554117025,90.49571078279962,1.0
immune,seed44,source_disjoint,9,2470,150,14,40,k_gt_30,True,11.661347389221191,1.2443517289373736,quantile_constrained_geodesic_rewire,5,5,0.31512690355329953,21.554681253433227,1.520484722715063,-9.893333864212035,-6.506697311656801,1.0,1.0993074871314858,0.0006449554289857207,0.1450442418058877,224.88998525681646,1.0
immune,seed42_main,source_disjoint,10,2470,150,14,40,k_gt_30,True,8.760295033454895,1.1577163834487878,degree_preserving_geodesic_rewire,5,5,0.3250557620817844,18.689987564086913,2.848229188641602,-9.929692530632018,-3.4862687900061475,1.0,1.0953756806204407,0.00037877761016080573,0.06234070282834714,164.5834826889543,1.0
immune,seed43,source_disjoint,10,2470,150,14,40,k_gt_30,True,9.275904893875122,1.1827927212251936,degree_preserving_geodesic_rewire,5,5,0.32140907963284543,17.57050714492798,3.78532524593191,-8.294602251052858,-2.191252193659136,1.0,1.0471866872086169,0.000577735846446326,0.13560603401657678,234.7193793345412,1.0
immune,seed44,source_disjoint,10,2470,150,14,40,k_gt_30,True,10.21486496925354,1.1616944953800319,degree_preserving_geodesic_rewire,5,5,0.3321844906234161,19.005352830886842,2.2227998530636666,-8.790487861633302,-3.9546915776347356,1.0,1.09739819993849,0.0018706502361347415,0.0642962954415418,34.3710758048063,1.0
immune,seed42_main,source_disjoint,10,2470,150,14,40,k_gt_30,True,8.760295033454895,1.1577163834487878,quantile_constrained_geodesic_rewire,5,5,0.31038413878562576,18.051174783706664,2.067209485945809,-9.290879750251769,-4.49440649770747,1.0,1.0937004097722671,0.0007061118593883486,0.06401597367652068,90.6596910470839,1.0
immune,seed43,source_disjoint,10,2470,150,14,40,k_gt_30,True,9.275904893875122,1.1827927212251936,quantile_constrained_geodesic_rewire,5,5,0.31029521210617717,16.22512278556824,2.599171881689423,-6.949217891693117,-2.6736276804066534,1.0,1.0477254354691676,0.0010165456849722226,0.135067285756026,132.86874843305083,1.0
immune,seed44,source_disjoint,10,2470,150,14,40,k_gt_30,True,10.21486496925354,1.1616944953800319,quantile_constrained_geodesic_rewire,5,5,0.3166751140395337,19.00347557067871,1.7436941584579482,-8.78861060142517,-5.040224831720049,1.0,1.0954478075268832,0.0013448287819230363,0.06624668785314869,49.26027720654683,1.0
immune,seed42_main,source_disjoint,11,2470,150,14,40,k_gt_30,True,7.048505544662476,1.1878775127270278,degree_preserving_geodesic_rewire,5,5,0.32176308539944903,13.632962489128113,1.062507521705654,-6.584456944465638,-6.197092071121012,1.0,1.098052189357127,0.0011479303867540556,0.0898253233699009,78.24973200174898,1.0
immune,seed43,source_disjoint,11,2470,150,14,40,k_gt_30,True,8.745936632156372,1.165279960542802,degree_preserving_geodesic_rewire,5,5,0.319111335521333,15.206634521484375,1.6609446205222114,-6.460697889328003,-3.8897732083366785,1.0,1.061171264683176,0.0012611979527430205,0.10410869585962601,82.54740113222962,1.0
immune,seed44,source_disjoint,11,2470,150,14,40,k_gt_30,True,9.67790961265564,1.1988489247899554,degree_preserving_geodesic_rewire,5,5,0.3197161682716675,17.064345908164977,3.1054079225514166,-7.386436295509338,-2.378571987110163,1.0,1.0592321234386501,0.0015797472880355917,0.13961680135130528,88.37914394888695,1.0
immune,seed42_main,source_disjoint,11,2470,150,14,40,k_gt_30,True,7.048505544662476,1.1878775127270278,quantile_constrained_geodesic_rewire,5,5,0.310343100425745,11.743236017227172,1.4778325682447437,-4.6947304725646966,-3.176767497392462,1.0,1.0957996790567137,0.0012757630070598634,0.09207783367031408,72.17466017286179,1.0
