domain,seed_tag,split_regime,layer,knn_k,knn_bucket,used_component_bridging,distortion_delta_observed_minus_null_degree_preserving_geodesic_rewire,distortion_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_observed_minus_null_degree_preserving_geodesic_rewire,h1_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_shift_constrained_minus_unconstrained,distortion_delta_shift_constrained_minus_unconstrained
immune,seed43,source_disjoint,4,40,k_gt_30,True,0.12151641420371861,0.12346646251770887,-14.738537120819093,-12.281173610687254,2.457363510131838,0.0019500483139902602
immune,seed43,source_disjoint,5,40,k_gt_30,True,0.24928510750864818,0.25010915500318953,-12.579727935791016,-13.328630399703979,-0.7489024639129624,0.0008240474945413467
immune,seed43,source_disjoint,6,40,k_gt_30,True,0.20236211463657816,0.20228188965101612,-10.868943929672241,-11.2795250415802,-0.410581111907959,-8.02249855620385e-05
immune,seed43,source_disjoint,7,40,k_gt_30,True,0.261958395774879,0.26312976140864985,-9.255783653259279,-10.154716825485231,-0.8989331722259521,0.001171365633770849
immune,seed43,source_disjoint,8,40,k_gt_30,True,0.19107359073667096,0.1917851211483197,-9.719471597671507,-12.667990159988403,-2.9485185623168952,0.0007115304116487309
immune,seed43,source_disjoint,9,40,k_gt_30,True,0.16423973557253957,0.16538932554117025,-8.785787105560303,-9.488939213752747,-0.7031521081924446,0.001149589968630682
immune,seed43,source_disjoint,10,40,k_gt_30,True,0.13560603401657678,0.135067285756026,-8.294602251052858,-6.949217891693117,1.3453843593597412,-0.000538748260550781
immune,seed43,source_disjoint,11,40,k_gt_30,True,0.10410869585962601,0.10470477168641246,-6.460697889328003,-4.502792191505431,1.9579056978225715,0.0005960758267864463
immune,seed43,target_disjoint,0,35,k_gt_30,False,0.3580219774538256,0.3575068132414374,-23.757420158386232,-22.46533098220825,1.2920891761779814,-0.000515164212388175
immune,seed43,target_disjoint,1,30,k_21_30,False,0.5985921918365082,0.5966671292409786,-16.953214263916017,-16.362026309967042,0.5911879539489746,-0.001925062595529603
immune,seed43,target_disjoint,2,38,k_gt_30,False,0.13541222026483601,0.13426530676037807,-15.627930142976652,-16.469755437471278,-0.8418252944946261,-0.001146913504457947
immune,seed43,target_disjoint,3,29,k_21_30,False,-0.0354361535417389,-0.03271274976011429,-25.507001876831055,-20.55323991775513,4.953761959075926,0.0027234037816246115
immune,seed43,target_disjoint,4,37,k_gt_30,False,0.6142571520328677,0.6141193183381946,-20.50288829803467,-27.333622264862058,-6.830733966827388,-0.00013783369467312845
immune,seed43,target_disjoint,5,35,k_gt_30,False,0.4304147892979022,0.42896001673837536,-30.07022924423218,-35.4504771232605,-5.3802478790283175,-0.0014547725595268624
immune,seed43,target_disjoint,6,24,k_21_30,False,0.8406580796313283,0.8440947935127503,-39.521969890594484,-28.62479486465454,10.897175025939944,0.003436713881421971
immune,seed43,target_disjoint,7,40,k_gt_30,True,0.14451406231910302,0.1426736535173645,-24.261619520187377,-30.948270559310913,-6.686651039123536,-0.0018404088017385245
