domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_triangle_defect,auc_directed_geodesic_baseline,delta_auc_triangle_defect_minus_baseline,mean_triangle_median_defect,mean_triangle_tail_defect,mean_triangle_close_frac,q95_endpoint_swap,q95_random_third,q95_label,null_gap_q95_endpoint_swap,null_gap_q95_random_third,null_gap_q95_label,p_swap_upper,p_random_third_upper,p_label_upper,p_best_upper
external_lung,seed44,target_disjoint,7,1041,684,170,0.8803135289203401,0.8117106491719495,0.06860287974839063,0.43685032310170197,0.48984728338885786,0.18924111431316043,0.017405441708847322,0.024674021655445848,0.01921122250069619,0.05119743803954331,0.043928858092944785,0.04939165724769444,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
external_lung,seed44,target_disjoint,11,1041,684,170,0.8683882909889101,0.8356553147574819,0.032732976231428235,0.4153908394279326,0.4677571681415505,0.18924111431316043,-0.003717422641571163,0.027538822546562453,0.019448744410044693,0.0364503988729994,0.005194153684865782,0.013284231821383542,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
immune,seed42_main,source_disjoint,7,953,240,170,0.907597007947639,0.8781907433380085,0.029406264609630473,0.4432666227224531,0.49558111728730114,0.24239244491080797,0.018754090696587195,0.01434811827956981,-0.012796575502571322,0.010652173913043277,0.015058146330060663,0.042202840112201795,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.02040816326530612
immune,seed42_main,source_disjoint,11,953,240,170,0.8929406264609631,0.8955995792426367,-0.002658952781673607,0.4180480891940771,0.4697360008568035,0.24239244491080797,-0.0028669939223935166,0.0058561243571764445,-0.030490299205236028,0.00020804114071990964,-0.008515077138850052,0.02783134642356242,0.08163265306122448,1.0,0.02040816326530612,0.02040816326530612
immune,seed42_main,target_disjoint,7,1111,276,170,0.8987416471405016,0.8775362318840578,0.021205415256443816,0.36583474939734245,0.4111741160329356,0.31683168316831684,0.0035075501171571914,0.012563568515143725,-0.006592467239434215,0.017697865139286624,0.00864184674130009,0.02779788249587803,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
immune,seed42_main,target_disjoint,11,1111,276,170,0.8805302438601058,0.8932613034799965,-0.012731059619890739,0.2518160059484265,0.33479770871802367,0.45016376637663763,-0.03602599149527035,-0.0019027163065175549,-0.01199600798403202,0.023294931875379614,-0.010828343313373184,-0.0007350516358587186,0.02040816326530612,1.0,0.08163265306122448,0.02040816326530612
immune,seed43,source_disjoint,7,920,234,170,0.8899479205601655,0.8893810271361292,0.0005668934240362633,0.31468457714972187,0.4053979137827722,0.40187198067632846,-0.016011624429991756,-0.0004261045077372072,-0.029708485958485985,0.01657851785402802,0.0009929979317734705,0.030275379382522248,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
immune,seed43,source_disjoint,11,920,234,170,0.8995851087687824,0.8965450649124119,0.003040043856370467,0.41052250198410717,0.46257895629244017,0.2684782608695652,-0.007091151478906732,-0.0059000523286238515,-0.041982195808726516,0.0101311953352772,0.008940096184994318,0.04502223966509698,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
immune,seed43,target_disjoint,7,1082,274,170,0.9070607790706079,0.8667928380429284,0.0402679410276795,0.37529493990315,0.4206764556210129,0.34473197781885395,0.019628758040037546,0.015575540218255385,-0.0016403031726530755,0.020639182987641953,0.024692400809424114,0.041908244200332574,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
immune,seed43,target_disjoint,11,1082,274,170,0.896333200838332,0.8803615306786153,0.015971670159716678,0.3499311962997057,0.3942338582452109,0.34473197781885395,-0.0013428669509287076,0.0030694424369443803,-0.014026477921514702,0.017314537110645387,0.012902227722772297,0.029998148081231378,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
