domain,seed_tag,split_regime,layer,n_edges_total_split,n_edges_in_knn_graph,n_positive_in_knn_graph,graph_nodes,graph_edges,mean_graph_degree,auc_neg_curvature,slope_pos_rate_vs_neg_curvature_bin,delta_top_minus_bottom_pos_rate,p_auc_upper,p_slope_upper,p_delta_upper,null_mean_auc,null_mean_slope,null_mean_delta
external_lung,seed42_main,target_disjoint,11,14992,310,101,1642,24682,30.063337393422657,0.4294376806101663,-0.0364758698092031,-0.07295173961840629,0.9933554817275747,0.8604651162790697,0.8604651162790697,0.4974615882640896,-0.0031202233980011334,-0.006240446796002338
external_lung,seed43,target_disjoint,11,14999,353,110,1643,24707,30.07547169811321,0.52665544332211,0.014020218806259525,0.0222222222222222,0.16611295681063123,0.36212624584717606,0.4219269102990033,0.49876748971193424,-0.0004634538152610076,-0.0016296296296296202
external_lung,seed44,target_disjoint,11,15000,310,90,1659,24794,29.890295358649787,0.36318181818181816,-0.07815768547392461,-0.21782771535580522,1.0,1.0,0.9966777408637874,0.4985388047138047,-0.0005808072990190256,-0.003947066167290888
immune,seed42_main,source_disjoint,0,1527,184,66,340,4732,27.83529411764706,0.2774781715459681,-0.1333438735177866,-0.4747826086956522,1.0,1.0,1.0,0.5007505136106831,0.00027628458498027246,0.001072463768115932
immune,seed43,source_disjoint,0,1479,171,71,339,4781,28.206489675516224,0.31133802816901407,-0.13287931580614504,-0.4913419913419913,1.0,1.0,1.0,0.5018171361502347,0.0014380741210009895,0.006771284271284263
immune,seed44,source_disjoint,0,1483,177,68,338,4825,28.550295857988164,0.2468294657312466,-0.1756123206333498,-0.5685304304799604,1.0,1.0,1.0,0.49769720273430473,-0.001390639947220809,-0.004679201715322445
immune,seed42_main,source_disjoint,3,1527,169,57,340,4749,27.935294117647057,0.3057644110275689,-0.13180092287409353,-0.32243902439024386,1.0,1.0,1.0,0.501953581871345,0.0011073873873874195,0.0010991869918699159
immune,seed43,source_disjoint,3,1479,152,57,339,4759,28.07669616519174,0.2605724838411819,-0.1737854251012146,-0.49210526315789477,1.0,1.0,1.0,0.4979870729455218,-0.0007619449264185727,-0.005346491228070183
immune,seed44,source_disjoint,3,1483,158,56,338,4780,28.284023668639055,0.24754901960784312,-0.16362781954887218,-0.42261904761904767,1.0,1.0,1.0,0.4967206465919702,-0.0033590852130325347,-0.012892857142857135
immune,seed42_main,source_disjoint,7,1527,170,54,340,4739,27.876470588235293,0.27155172413793105,-0.1324480455220188,-0.34982681840672936,1.0,1.0,1.0,0.49644529587058317,-0.0018449571169387713,-0.004510968167573807
immune,seed43,source_disjoint,7,1479,157,61,339,4775,28.171091445427727,0.28884904371584696,-0.1449171375823111,-0.3376259798432252,1.0,1.0,0.9966777408637874,0.4975617600182149,-0.0011913606615733825,-0.008971631205673765
immune,seed44,source_disjoint,7,1483,153,59,338,4789,28.337278106508876,0.22827262892174538,-0.19000114468864465,-0.5160256410256411,1.0,1.0,1.0,0.49961654044957327,-0.002012839590964551,-0.0061431623931623965
immune,seed42_main,source_disjoint,11,1527,169,60,340,4869,28.641176470588235,0.3757645259938838,-0.07100919334552196,-0.15824915824915825,0.9867109634551495,0.9667774086378738,0.9003322259136213,0.5023065749235474,0.0009238199279919749,-0.0022194163860830697
immune,seed43,source_disjoint,11,1479,164,62,339,4946,29.179941002949853,0.3872549019607843,-0.0716757903184202,-0.21463414634146338,0.9900332225913622,0.9800664451827242,0.9767441860465116,0.5007395108581065,0.0007781916062404311,0.0004918699186991852
immune,seed44,source_disjoint,11,1483,168,59,338,4922,29.124260355029588,0.3287202612346447,-0.13794426574227328,-0.397979797979798,1.0,0.9966777408637874,0.9966777408637874,0.49940807546778615,-0.0018307541231621974,-0.007043771043771049
immune,seed42_main,target_disjoint,0,1465,193,74,227,3254,28.669603524229075,0.41789688848512385,-0.04771552736669013,-0.09086993970714902,0.9767441860465116,0.9401993355481728,0.8205980066445183,0.4984285335755924,-0.0015360687976966629,-0.002464829170255521
immune,seed43,target_disjoint,0,1465,200,77,228,3320,29.12280701754386,0.4005912786400591,-0.07894883312176544,-0.24346580737558182,0.9900332225913622,0.9900332225913622,0.9966777408637874,0.49692623095062116,-0.0019759157634345126,-0.005651032342761648
immune,seed44,target_disjoint,0,1467,214,79,228,3367,29.535087719298247,0.3406938584153774,-0.10290248154224771,-0.33125000000000004,1.0,1.0,1.0,0.4999184247538679,-0.00015265814419830248,0.0018750000000000023
immune,seed42_main,target_disjoint,3,1465,178,73,227,3257,28.696035242290748,0.36196999347684283,-0.096966276477146,-0.27361111111111114,0.9966777408637874,0.9966777408637874,0.9933554817275747,0.4978886714503153,-0.0016886705685618313,-0.005754629629629633
immune,seed43,target_disjoint,3,1465,198,72,228,3288,28.842105263157894,0.3756613756613757,-0.06490108493990479,-0.1936920222634508,1.0,0.9833887043189369,0.9900332225913622,0.5046492871840095,0.0025739831769335266,0.009821892393320967
immune,seed44,target_disjoint,3,1467,208,79,228,3322,29.140350877192983,0.32612108723383376,-0.12877797202797203,-0.37342657342657337,1.0,1.0,1.0,0.5023556733065123,0.002114989801864844,0.006228438228438228
immune,seed42_main,target_disjoint,7,1465,184,65,227,3285,28.94273127753304,0.3459599224305107,-0.11205079592812733,-0.31209150326797386,1.0,1.0,1.0,0.5003264382676147,0.0006791464553301379,0.0005119825708060974
immune,seed43,target_disjoint,7,1465,205,72,228,3319,29.114035087719298,0.380952380952381,-0.07441857037582902,-0.2176271186440678,0.9933554817275747,0.9900332225913622,0.9867109634551495,0.4974305555555556,-0.0020901891427167352,-0.005861016949152535
immune,seed44,target_disjoint,7,1467,191,68,228,3306,29.0,0.3499521759923481,-0.11286216872277456,-0.29817444219066935,1.0,1.0,0.9966777408637874,0.5007372867846326,-0.0014327709240846893,-0.006085192697768763
immune,seed42_main,target_disjoint,11,1465,197,64,227,3306,29.12775330396476,0.4550046992481203,-0.02459262435677526,-0.04030874785591765,0.8305647840531561,0.7940199335548173,0.6378737541528239,0.49549302944862156,-0.002989308909120196,-0.01165951972555746
immune,seed43,target_disjoint,11,1465,186,65,228,3369,29.55263157894737,0.4519389701207884,-0.04004456327985737,-0.13903743315508021,0.867109634551495,0.8803986710963455,0.9136212624584718,0.5006694214876033,-0.00025909939733465226,0.0006892453951277414
immune,seed44,target_disjoint,11,1467,196,65,228,3357,29.44736842105263,0.43881385789782734,-0.0356456577010571,-0.08962264150943394,0.9069767441860465,0.8704318936877077,0.8172757475083057,0.4975846545312193,-0.0015567643516659591,-0.005258560447239685
lung,seed42_main,source_disjoint,0,16398,291,98,2592,40039,30.89429012345679,0.40184519403616376,-0.0701432022084196,-0.2142857142857143,1.0,0.920265780730897,0.8837209302325582,0.5029093088012406,0.003991295643469588,0.012252252252252233
lung,seed43,source_disjoint,0,16417,259,88,2593,40433,31.18627072888546,0.359416533758639,-0.16785103785103778,-0.5230769230769231,1.0,1.0,1.0,0.5021685052277157,0.001519536019536043,0.004637362637362602
lung,seed44,source_disjoint,0,16417,286,83,2592,40039,30.89429012345679,0.35571844026351707,-0.15225526438292394,-0.4594594594594595,1.0,1.0,1.0,0.49896156052782564,0.0025986381518296703,0.008558558558558553
lung,seed42_main,source_disjoint,3,16398,283,92,2592,40203,31.020833333333332,0.4231163214204416,0.0816558441558442,0.2916666666666667,0.9933554817275747,0.0664451827242525,0.059800664451827246,0.5009934365278094,0.003969552669552699,0.011481481481481471
lung,seed43,source_disjoint,3,16417,273,89,2593,40675,31.372927111453915,0.326728138739619,-0.1584737717368531,-0.47297297297297297,1.0,1.0,1.0,0.50325975004071,-0.0035119945526921963,-0.012462462462462473
