domain,seed_tag,split_regime,layer,phase,n_edges,n_positive,n_unique_genes,auc_edge_reconstruction,auc_centered,mean_gene_reconstruction_error,std_gene_reconstruction_error
lung,seed43,target_disjoint,3,early,16364,3805,1801,0.5450211715551481,0.045021171555148065,0.050460745725786064,0.05047425275916201
lung,seed43,target_disjoint,4,mid,16364,3805,1801,0.5385707554952975,0.03857075549529754,0.045135134273591435,0.045280718351267187
lung,seed43,target_disjoint,5,mid,16364,3805,1801,0.5357088262193511,0.03570882621935112,0.042296822687260364,0.04236801192071025
lung,seed43,target_disjoint,6,mid,16364,3805,1801,0.5323977370830705,0.03239773708307048,0.04012215625340432,0.040989618162603596
lung,seed43,target_disjoint,7,mid,16364,3805,1801,0.5285710055633337,0.028571005563333696,0.03780314982525155,0.03812675362624579
lung,seed43,target_disjoint,8,late,16364,3805,1801,0.5307122575922592,0.03071225759225915,0.034596528330645214,0.034395810630484
lung,seed43,target_disjoint,9,late,16364,3805,1801,0.5391173686481019,0.03911736864810189,0.02861808933410462,0.02879652395645799
lung,seed43,target_disjoint,10,late,16364,3805,1801,0.5237911695430943,0.023791169543094348,0.019322040526486988,0.01996888304286632
lung,seed43,target_disjoint,11,late,16364,3805,1801,0.518785728209108,0.018785728209107955,0.013690219795827746,0.014443942766352039
lung,seed44,source_disjoint,0,early,16417,4057,2592,0.5339607199350996,0.03396071993509964,0.06560591483947438,0.05753881767527189
lung,seed44,source_disjoint,1,early,16417,4057,2592,0.5255739809654175,0.02557398096541752,0.05791773042450023,0.050809395062282145
lung,seed44,source_disjoint,2,early,16417,4057,2592,0.532562002787144,0.03256200278714405,0.05517007206308933,0.0498299544722153
lung,seed44,source_disjoint,3,early,16417,4057,2592,0.5352663660954378,0.03526636609543776,0.05323054988718773,0.04807706160961193
lung,seed44,source_disjoint,4,mid,16417,4057,2592,0.5181419624716719,0.01814196247167188,0.04849449041495167,0.044475390644640955
lung,seed44,source_disjoint,5,mid,16417,4057,2592,0.5114884537732138,0.011488453773213836,0.046501992841795514,0.04323401876548678
lung,seed44,source_disjoint,6,mid,16417,4057,2592,0.5160544163150829,0.016054416315082864,0.04404310339768505,0.04138690632652583
lung,seed44,source_disjoint,7,mid,16417,4057,2592,0.5308754575774182,0.030875457577418164,0.041720572890002486,0.039127456907602214
lung,seed44,source_disjoint,8,late,16417,4057,2592,0.5163402102562753,0.0163402102562753,0.03843122301071365,0.03551168076186548
lung,seed44,source_disjoint,9,late,16417,4057,2592,0.5229760500250077,0.022976050025007688,0.0318174429419743,0.02940025038323732
lung,seed44,source_disjoint,10,late,16417,4057,2592,0.5227603135896006,0.022760313589600623,0.021683235430602976,0.02095999509083908
lung,seed44,source_disjoint,11,late,16417,4057,2592,0.5150941119787367,0.015094111978736668,0.01580842538378698,0.015696377391834694
lung,seed44,target_disjoint,0,early,16359,3805,1801,0.5296938827419294,0.02969388274192941,0.0674636852877984,0.06155629722716015
lung,seed44,target_disjoint,1,early,16359,3805,1801,0.5383856693093719,0.03838566930937193,0.05970511130922745,0.05543990642001182
lung,seed44,target_disjoint,2,early,16359,3805,1801,0.5419500451871829,0.04195004518718293,0.05558694108015384,0.05208525907951596
lung,seed44,target_disjoint,3,early,16359,3805,1801,0.5460964638019996,0.04609646380199961,0.05345695512483003,0.050323357638453435
lung,seed44,target_disjoint,4,mid,16359,3805,1801,0.546441485790583,0.04644148579058305,0.04891606752574934,0.04719921702516581
lung,seed44,target_disjoint,5,mid,16359,3805,1801,0.552388190245472,0.05238819024547203,0.04617839288325824,0.04565959351203915
