hypothesis_id,null_kind,domain,perm_idx,null_value
H86,random_transport_fixed_marginals,lung,14,0.5617863293645695
H86,random_transport_fixed_marginals,lung,15,0.5299308799770608
H86,random_transport_fixed_marginals,lung,16,0.5341010752292932
H86,random_transport_fixed_marginals,lung,17,0.5541039811943744
H86,random_transport_fixed_marginals,lung,18,0.5905184762044273
H86,random_transport_fixed_marginals,lung,19,0.5875893057572061
H86,random_transport_fixed_marginals,lung,20,0.6637350668602677
H86,random_transport_fixed_marginals,lung,21,0.649440812762492
H86,random_transport_fixed_marginals,lung,22,0.5765299913402842
H86,random_transport_fixed_marginals,lung,23,0.5759470304694971
