hypothesis_id,null_kind,domain,split_regime,layer,perm_idx,null_value
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,7,4,-0.004248480598410431
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,7,5,-0.0051484338475923375
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,7,6,-0.008327489481066097
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,7,7,-0.012949976624590964
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,11,0,-0.0009262505843853353
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,11,1,-0.0034917017297804165
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,11,2,0.0024047452080410148
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,11,3,-0.0034917017297805275
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,11,4,-0.0014112903225805828
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,11,5,-0.0005639317438054237
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,11,6,0.002860565684899452
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,11,7,-0.003462482468443384
H87,endpoint_swap_within_geodesic_bins,immune,target_disjoint,0,0,-0.010500737655124492
H87,endpoint_swap_within_geodesic_bins,immune,target_disjoint,0,1,-0.025158378894385214
H87,endpoint_swap_within_geodesic_bins,immune,target_disjoint,0,2,-0.011672307558795225
H87,endpoint_swap_within_geodesic_bins,immune,target_disjoint,0,3,-0.009324828603662128
H87,endpoint_swap_within_geodesic_bins,immune,target_disjoint,0,4,-0.007797448581098654
H87,endpoint_swap_within_geodesic_bins,immune,target_disjoint,0,5,-0.012752755358847456
H87,endpoint_swap_within_geodesic_bins,immune,target_disjoint,0,6,-0.019599930573635183
