domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,mean_gene_reconstruction_error,std_gene_reconstruction_error,mean_edge_reconstruction_error,mean_edge_absdiff_reconstruction_error,positive_edge_recon_mean,negative_edge_recon_mean,delta_edge_recon_pos_minus_neg,auc_edge_recon_mean,auc_edge_recon_absdiff,p_auc_edge_recon_upper,p_auc_edge_recon_two_sided,p_delta_pos_minus_neg_upper,p_delta_pos_minus_neg_two_sided
immune,seed43,target_disjoint,4,1465,357,227,32,0.148240146470743,0.12408897369747499,0.1519613220746955,0.13727033514049145,0.143601533391828,0.15465486409616092,-0.011053330704332925,0.46151998705619435,0.4351697357643418,0.9875311720698254,0.9875311720698254,0.9800498753117207,0.04488778054862843
immune,seed44,target_disjoint,4,1465,357,227,32,0.1512173553561518,0.1272867443161026,0.15380925128993872,0.13442809422814242,0.1549782430748047,0.1534325996047427,0.0015456434700620025,0.5037605294825511,0.41203394715286834,0.47381546134663344,0.47381546134663344,0.44139650872817954,0.7630922693266833
immune,seed42_main,target_disjoint,5,1465,357,227,32,0.1493758967458109,0.12209506908143769,0.154011142703029,0.13070343273176993,0.15248628651838364,0.15450245466865933,-0.0020161681502756934,0.4850665898128204,0.46381296200790784,0.8104738154613467,0.8104738154613467,0.655860349127182,0.6957605985037406
immune,seed43,target_disjoint,5,1465,357,227,32,0.14103061606720788,0.11770201794706352,0.1436297308398468,0.1302912088021234,0.13212753714103972,0.1473357625641014,-0.015208225423061689,0.4445337701867751,0.4227568283631142,1.0,1.0,1.0,0.004987531172069825
immune,seed44,target_disjoint,5,1465,357,227,32,0.14016691576674362,0.12178833819299936,0.141756531389082,0.12581549267816264,0.13983355640002898,0.1423761180958437,-0.00254256169581471,0.48972711828413673,0.41289602483592713,0.7381546134663342,0.7381546134663342,0.7182044887780549,0.5860349127182045
immune,seed42_main,target_disjoint,6,1465,357,227,32,0.1416500802145956,0.1170100852224743,0.14578248449439749,0.12270380761918472,0.14339099386558388,0.14655302795512534,-0.0031620340895414656,0.4819797955283196,0.46132532435356816,0.8728179551122195,0.8728179551122195,0.7655860349127181,0.4837905236907731
immune,seed43,target_disjoint,6,1465,357,227,32,0.13361704780515235,0.11253376925364324,0.13684175963103534,0.12319957032701699,0.12718796744166427,0.1399522323851919,-0.012764264943527615,0.4507225272780593,0.4270444639949843,0.9975062344139651,0.9975062344139651,0.9975062344139651,0.017456359102244388
immune,seed44,target_disjoint,6,1465,357,227,32,0.1378717920182982,0.11970355032507779,0.13980947019594922,0.12331952139966891,0.13910657270945745,0.1400359452886185,-0.0009293725791610641,0.49179003731456483,0.41937551193762707,0.6533665835411472,0.6533665835411472,0.5660847880299252,0.8528678304239401
immune,seed42_main,target_disjoint,7,1465,357,227,32,0.13999566991808343,0.1159149006635091,0.1444982843538403,0.12183324102443627,0.14171771759876844,0.1453941889852127,-0.003676471386444252,0.4781724964353972,0.4633098726855363,0.885286783042394,0.885286783042394,0.7855361596009975,0.42643391521197005
immune,seed43,target_disjoint,7,1465,357,227,32,0.12838473434274542,0.10965606729358218,0.13253925895745258,0.1175586635304575,0.12137123762963889,0.1361376196199341,-0.014766381990295202,0.44550202752581175,0.4121489751135112,0.9975062344139651,0.9975062344139651,1.0,0.0024937655860349127
immune,seed44,target_disjoint,7,1465,357,227,32,0.13222384625340095,0.11727448548459461,0.1335879247440308,0.11926711272684636,0.12983424876791583,0.1347973672742411,-0.004963118506325276,0.4745358432181537,0.4226139914449535,0.8877805486284289,0.8877805486284289,0.8029925187032418,0.33665835411471323
immune,seed42_main,target_disjoint,8,1465,357,227,32,0.1316689710156543,0.10939131824516274,0.13595643015483772,0.11122414012141897,0.13018639579759939,0.13781554772300927,-0.007629151925409888,0.46481408447855677,0.4441368605203815,0.9675810473815462,0.9675810473815462,0.9376558603491272,0.08977556109725686
