domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,used_component_bridging,n_null_draws,rewire_attempts,h1_observed_euclidean,h1_observed_geodesic,h1_rewire_null_mean,h1_rewire_null_std,h1_delta_euclidean_vs_rewire,h1_z_euclidean_vs_rewire,h1_delta_geodesic_vs_rewire,h1_z_geodesic_vs_rewire,h1_delta_shift_geodesic_minus_euclidean,h1_p_perm_euclidean_vs_rewire,h1_p_perm_geodesic_vs_rewire,distortion_observed,distortion_rewire_null_mean,distortion_rewire_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed44,source_disjoint,6,2470,160,14,30,True,6,6,12.62947392463684,12.859938859939575,116.40289016564687,5.017207529831105,-103.77341624101003,-20.68350085247916,-103.54295130570729,-20.637565950666446,0.23046493530273438,1.0,1.0,1.2551447740894153,1.275985778733792,0.003397610469367188,-0.02084100464437677,-6.134016450167697,0.14285714285714285
immune,seed42_main,source_disjoint,7,2470,160,14,30,True,6,6,21.497233152389526,21.500577688217163,158.34391947587332,21.450164030358476,-136.8466863234838,-6.379750109296347,-136.84334178765616,-6.379594188072493,0.0033445358276367188,1.0,1.0,1.3741019053280825,1.2760558706625524,0.004409239104302364,0.09804603466553008,22.236492535269416,1.0
immune,seed43,source_disjoint,7,2470,160,14,30,True,6,6,17.518860578536987,17.591731309890747,122.72569111982982,13.317940473524219,-105.20683054129283,-7.899632134754028,-105.13395980993907,-7.894160513110039,0.07287073135375977,1.0,1.0,1.3013235941584091,1.2053764638175468,0.008149448640331177,0.09594713034086233,11.773449076367719,1.0
immune,seed44,source_disjoint,7,2470,160,14,30,True,6,6,14.76778507232666,14.76778507232666,143.3279884258906,10.499139935202557,-128.56020335356394,-12.244831875253869,-128.56020335356394,-12.244831875253869,0.0,1.0,1.0,1.3171775649366944,1.1694303245232618,0.00421802671893998,0.14774724041343257,35.02756507502574,1.0
immune,seed42_main,source_disjoint,8,2470,160,14,30,True,6,6,15.810213088989258,15.84556770324707,142.33085171381632,11.071580701921143,-126.52063862482706,-11.427513561044238,-126.48528401056925,-11.424320284925274,0.0353546142578125,1.0,1.0,1.29644794273469,1.19669371777666,0.005471731026744938,0.0997542249580301,18.230831566759417,1.0
immune,seed43,source_disjoint,8,2470,160,14,30,True,6,6,21.814745903015137,21.814745903015137,109.48939923445384,8.86409126437389,-87.6746533314387,-9.890991722290279,-87.6746533314387,-9.890991722290279,0.0,1.0,1.0,1.4301429571215163,1.188670950578299,0.0029056793733724614,0.2414720065432172,83.10343035526448,1.0
immune,seed44,source_disjoint,8,2470,160,14,30,True,6,6,17.144839763641357,17.144839763641357,119.57822771867116,15.590085055987101,-102.4333879550298,-6.570418800192602,-102.4333879550298,-6.570418800192602,0.0,1.0,1.0,1.2385651423856092,1.2663715375910432,0.002867139935695892,-0.02780639520543393,-9.698300791302037,0.14285714285714285
immune,seed42_main,source_disjoint,9,2470,160,14,30,True,6,6,12.553535223007202,12.745479345321655,130.9836184978485,18.86691187350414,-118.43008327484131,-6.27713131129224,-118.23813915252686,-6.266957726786668,0.19194412231445312,1.0,1.0,1.2799074612778683,1.2754063024854891,0.004542720485485853,0.004501158792379112,0.990850706291474,0.8571428571428571
immune,seed43,source_disjoint,9,2470,160,14,30,True,6,6,17.754972457885742,18.074491024017334,133.9490891683325,14.750563169400458,-116.19411671044676,-7.877266472348001,-115.87459814431517,-7.855605023734787,0.3195185661315918,1.0,1.0,1.3477790156327496,1.271523957669775,0.004161705645054197,0.0762550579629746,18.32302573599143,1.0
immune,seed44,source_disjoint,9,2470,160,14,30,True,6,6,10.71813702583313,10.753517866134644,131.2255378961563,12.627085485496812,-120.50740087032318,-9.543564189788034,-120.47202003002167,-9.540762209842674,0.03538084030151367,1.0,1.0,1.3215866027550902,1.2929382541019976,0.004339497763190863,0.028648348653092626,6.6017644471057055,1.0
immune,seed42_main,source_disjoint,10,2470,160,14,30,True,6,6,13.365082025527954,13.365082025527954,82.75885959466298,9.519539809631734,-69.39377756913503,-7.289614723984219,-69.39377756913503,-7.289614723984219,0.0,1.0,1.0,1.204154313561799,1.1897580606355194,0.004588152116316169,0.014396252926279551,3.1377010664888862,1.0
immune,seed43,source_disjoint,10,2470,160,14,30,True,6,6,15.6797935962677,15.6797935962677,72.13487676710905,10.360244635077896,-56.45508317084135,-5.449203677512164,-56.45508317084135,-5.449203677512164,0.0,1.0,1.0,1.2439323695613982,1.2581906079138887,0.0040534291776943955,-0.014258238352490515,-3.5175734445734665,0.14285714285714285
immune,seed44,source_disjoint,10,2470,160,14,30,True,6,6,8.6730375289917,8.6730375289917,97.6586966117223,11.459988631060895,-88.9856590827306,-7.764899420037903,-88.9856590827306,-7.764899420037903,0.0,1.0,1.0,1.2710712906310426,1.1898291750472232,0.007327869793686018,0.08124211558381944,11.0867287198651,1.0
