domain,seed_tag,split_regime,layer,perm_idx,null_interaction_coef_mean
external_lung,seed42_main,source_disjoint,7,62,-0.1583001586807413
external_lung,seed42_main,source_disjoint,7,63,-0.01207748913698059
external_lung,seed42_main,source_disjoint,7,64,-0.074470453255386
external_lung,seed42_main,source_disjoint,7,65,-0.1307836714127164
external_lung,seed42_main,source_disjoint,7,66,-0.050423863651463674
external_lung,seed42_main,source_disjoint,7,67,-0.11952208878042658
external_lung,seed42_main,source_disjoint,7,68,-0.056282024731323134
external_lung,seed42_main,source_disjoint,7,69,0.010347924961737939
external_lung,seed42_main,source_disjoint,7,70,-0.1952707920434196
external_lung,seed42_main,source_disjoint,7,71,-0.1531359185173232
external_lung,seed42_main,source_disjoint,7,72,-0.07179486326054889
external_lung,seed42_main,source_disjoint,7,73,-0.1493888006846148
external_lung,seed42_main,source_disjoint,7,74,-0.1921782420765523
external_lung,seed42_main,source_disjoint,7,75,-0.07000560372535412
external_lung,seed42_main,source_disjoint,7,76,-0.13694830910436398
external_lung,seed42_main,source_disjoint,7,77,-0.04972247462597366
external_lung,seed42_main,source_disjoint,7,78,-0.09857510342545206
external_lung,seed42_main,source_disjoint,7,79,-0.19204641077477905
external_lung,seed42_main,source_disjoint,11,0,-0.16623700665445237
external_lung,seed42_main,source_disjoint,11,1,-0.0062927519141271855
external_lung,seed42_main,source_disjoint,11,2,-0.15887068765660162
external_lung,seed42_main,source_disjoint,11,3,-0.11417468155300574
external_lung,seed42_main,source_disjoint,11,4,-0.2323765952945318
external_lung,seed42_main,source_disjoint,11,5,-0.05983030939131617
external_lung,seed42_main,source_disjoint,11,6,-0.044954360138604016
external_lung,seed42_main,source_disjoint,11,7,-0.07175567865677562
external_lung,seed42_main,source_disjoint,11,8,-0.05321619096229094
external_lung,seed42_main,source_disjoint,11,9,-0.17928040828513045
external_lung,seed42_main,source_disjoint,11,10,-0.11930024306049658
external_lung,seed42_main,source_disjoint,11,11,-0.05360264684347286
external_lung,seed42_main,source_disjoint,11,12,-0.15738989211261692
external_lung,seed42_main,source_disjoint,11,13,-0.034254581533480565
external_lung,seed42_main,source_disjoint,11,14,0.017393538882871668
external_lung,seed42_main,source_disjoint,11,15,0.0045579292220895825
external_lung,seed42_main,source_disjoint,11,16,-0.18517309315969963
external_lung,seed42_main,source_disjoint,11,17,-0.07082686432579505
external_lung,seed42_main,source_disjoint,11,18,-0.010587078429370567
external_lung,seed42_main,source_disjoint,11,19,-0.11582861724498385
external_lung,seed42_main,source_disjoint,11,20,-0.10574638066554116
external_lung,seed42_main,source_disjoint,11,21,-0.10182525635504676
