null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_spearman
layer_placebo,external_lung,all,all,-1,192,,0.14821323581755813
layer_placebo,external_lung,all,all,-1,193,,0.2528343434534815
layer_placebo,external_lung,all,all,-1,194,,0.013949481018123117
layer_placebo,external_lung,all,all,-1,195,,0.04707949843616552
layer_placebo,external_lung,all,all,-1,196,,0.11508321839951573
layer_placebo,external_lung,all,all,-1,197,,0.2249353814172353
layer_placebo,external_lung,all,all,-1,198,,0.1517006060720889
layer_placebo,external_lung,all,all,-1,199,,0.16041903170841587
layer_placebo,immune,all,all,-1,0,,-0.19878010450825442
layer_placebo,immune,all,all,-1,1,,-0.041848443054369355
layer_placebo,immune,all,all,-1,2,,-0.019180536399919287
layer_placebo,immune,all,all,-1,3,,-0.20924221527184678
layer_placebo,immune,all,all,-1,4,,-0.022667906654450065
layer_placebo,immune,all,all,-1,5,,-0.3156070080350355
layer_placebo,immune,all,all,-1,6,,-0.05579792407249247
layer_placebo,immune,all,all,-1,7,,-0.18134325323560052
layer_placebo,immune,all,all,-1,8,,-0.34350597007128175
layer_placebo,immune,all,all,-1,9,,-0.22842275167176604
layer_placebo,immune,all,all,-1,10,,0.052310553817961694
layer_placebo,immune,all,all,-1,11,,-0.07323477534514637
layer_placebo,immune,all,all,-1,12,,-0.26678382447160465
layer_placebo,immune,all,all,-1,13,,-0.1795995681083351
layer_placebo,immune,all,all,-1,14,,0.09590268199959644
layer_placebo,immune,all,all,-1,15,,-0.2423722326898892
layer_placebo,immune,all,all,-1,16,,-0.033130017418042404
layer_placebo,immune,all,all,-1,17,,-0.11508321839951573
layer_placebo,immune,all,all,-1,18,,-0.30514489727144317
layer_placebo,immune,all,all,-1,19,,-0.07149109021788098
layer_placebo,immune,all,all,-1,20,,-0.12205795890857726
layer_placebo,immune,all,all,-1,21,,-0.12205795890857726
layer_placebo,immune,all,all,-1,22,,-0.20052378963551984
layer_placebo,immune,all,all,-1,23,,-0.08020951585420794
layer_placebo,immune,all,all,-1,24,,-0.1830869383628659
layer_placebo,immune,all,all,-1,25,,0.10462110763592339
layer_placebo,immune,all,all,-1,26,,-0.25980908396254304
layer_placebo,immune,all,all,-1,27,,0.029642647163511626
layer_placebo,immune,all,all,-1,28,,-0.1185705886540465
layer_placebo,immune,all,all,-1,29,,-0.14646955069029274
layer_placebo,immune,all,all,-1,30,,-0.11159584814498494
layer_placebo,immune,all,all,-1,31,,-0.20226747476278523
layer_placebo,immune,all,all,-1,32,,-0.22319169628996988
layer_placebo,immune,all,all,-1,33,,-0.04010475792710397
layer_placebo,immune,all,all,-1,34,,-0.13252006967216962
layer_placebo,immune,all,all,-1,35,,-0.08892794149053489
layer_placebo,immune,all,all,-1,36,,0.01220579589085773
layer_placebo,immune,all,all,-1,37,,-0.13600743992670042
layer_placebo,immune,all,all,-1,38,,-0.05405423894522708
layer_placebo,immune,all,all,-1,39,,-0.08195320098147331
layer_placebo,immune,all,all,-1,40,,-0.08020951585420794
layer_placebo,immune,all,all,-1,41,,-0.10810847789045416
layer_placebo,immune,all,all,-1,42,,-0.31037595265323936
layer_placebo,immune,all,all,-1,43,,-0.2388848624353584
layer_placebo,immune,all,all,-1,44,,-0.04359212818163474
layer_placebo,immune,all,all,-1,45,,-0.05579792407249247
layer_placebo,immune,all,all,-1,46,,-0.07672214559967715
layer_placebo,immune,all,all,-1,47,,0.029642647163511626
layer_placebo,immune,all,all,-1,48,,0.06626003483608481
layer_placebo,immune,all,all,-1,49,,-0.04882318356343092
layer_placebo,immune,all,all,-1,50,,0.015693166145388505
layer_placebo,immune,all,all,-1,51,,0.03836107279983857
layer_placebo,immune,all,all,-1,52,,-0.2528343434534815
layer_placebo,immune,all,all,-1,53,,-0.2580653988352777
layer_placebo,immune,all,all,-1,54,,-0.0017436851272653897
layer_placebo,immune,all,all,-1,55,,-0.09241531174506565
layer_placebo,immune,all,all,-1,56,,-0.052310553817961694
layer_placebo,immune,all,all,-1,57,,-0.1185705886540465
layer_placebo,immune,all,all,-1,58,,-0.2702711947261354
layer_placebo,immune,all,all,-1,59,,-0.12554532916310804
layer_placebo,immune,all,all,-1,60,,-0.12205795890857726
layer_placebo,immune,all,all,-1,61,,-0.07323477534514637
layer_placebo,immune,all,all,-1,62,,-0.09590268199959644
layer_placebo,immune,all,all,-1,63,,-0.2528343434534815
layer_placebo,immune,all,all,-1,64,,-0.23016643679903145
layer_placebo,immune,all,all,-1,65,,-0.2894517311260547
layer_placebo,immune,all,all,-1,66,,-0.1517006060720889
layer_placebo,immune,all,all,-1,67,,-0.26852750959887
layer_placebo,immune,all,all,-1,68,,0.08195320098147331
layer_placebo,immune,all,all,-1,69,,-0.2214480111627045
layer_placebo,immune,all,all,-1,70,,-0.12728901429037345
layer_placebo,immune,all,all,-1,71,,-0.015693166145388505
layer_placebo,immune,all,all,-1,72,,-0.04010475792710397
layer_placebo,immune,all,all,-1,73,,-0.2737585649806662
layer_placebo,immune,all,all,-1,74,,-0.03487370254530779
layer_placebo,immune,all,all,-1,75,,-0.08544057123600411
layer_placebo,immune,all,all,-1,76,,0.11159584814498494
layer_placebo,immune,all,all,-1,77,,-0.14821323581755813
layer_placebo,immune,all,all,-1,78,,-0.07149109021788098
layer_placebo,immune,all,all,-1,79,,0.06626003483608481
layer_placebo,immune,all,all,-1,80,,-0.1185705886540465
layer_placebo,immune,all,all,-1,81,,0.17436851272653897
layer_placebo,immune,all,all,-1,82,,-0.1203142737813119
layer_placebo,immune,all,all,-1,83,,-0.11508321839951573
layer_placebo,immune,all,all,-1,84,,-0.34524965519854717
layer_placebo,immune,all,all,-1,85,,-0.2528343434534815
layer_placebo,immune,all,all,-1,86,,-0.13775112505396578
layer_placebo,immune,all,all,-1,87,,-0.13775112505396578
layer_placebo,immune,all,all,-1,88,,-0.13252006967216962
layer_placebo,immune,all,all,-1,89,,-0.010462110763592339
layer_placebo,immune,all,all,-1,90,,-0.015693166145388505
layer_placebo,immune,all,all,-1,91,,-0.12205795890857726
layer_placebo,immune,all,all,-1,92,,-0.2249353814172353
layer_placebo,immune,all,all,-1,93,,-0.07672214559967715
layer_placebo,immune,all,all,-1,94,,0.052310553817961694
layer_placebo,immune,all,all,-1,95,,-0.2702711947261354
layer_placebo,immune,all,all,-1,96,,-0.033130017418042404
layer_placebo,immune,all,all,-1,97,,-0.08369688610873871
layer_placebo,immune,all,all,-1,98,,-0.12728901429037345
layer_placebo,immune,all,all,-1,99,,-0.37489230236205884
layer_placebo,immune,all,all,-1,100,,-0.06974740509061558
layer_placebo,immune,all,all,-1,101,,-0.16041903170841587
layer_placebo,immune,all,all,-1,102,,-0.27201487985340084
layer_placebo,immune,all,all,-1,103,,-0.13949481018123117
layer_placebo,immune,all,all,-1,104,,-0.19354904912645826
layer_placebo,immune,all,all,-1,105,,-0.07846583072694255
layer_placebo,immune,all,all,-1,106,,-0.3330438593076894
layer_placebo,immune,all,all,-1,107,,0.1203142737813119
layer_placebo,immune,all,all,-1,108,,-0.13252006967216962
layer_placebo,immune,all,all,-1,109,,-0.10636479276318876
layer_placebo,immune,all,all,-1,110,,-0.19878010450825442
layer_placebo,immune,all,all,-1,111,,-0.05928529432702325
layer_placebo,immune,all,all,-1,112,,-0.1517006060720889
layer_placebo,immune,all,all,-1,113,,0.1569316614538851
layer_placebo,immune,all,all,-1,114,,-0.32955648905315865
layer_placebo,immune,all,all,-1,115,,-0.036617387672573186
layer_placebo,immune,all,all,-1,116,,-0.2214480111627045
layer_placebo,immune,all,all,-1,117,,-0.027898962036246235
layer_placebo,immune,all,all,-1,118,,0.022667906654450065
layer_placebo,immune,all,all,-1,119,,-0.13949481018123117
layer_placebo,immune,all,all,-1,120,,-0.2528343434534815
layer_placebo,immune,all,all,-1,121,,-0.1203142737813119
layer_placebo,immune,all,all,-1,122,,-0.1517006060720889
layer_placebo,immune,all,all,-1,123,,-0.08718425636326949
layer_placebo,immune,all,all,-1,124,,-0.12380164403584266
layer_placebo,immune,all,all,-1,125,,-0.04533581330890013
layer_placebo,immune,all,all,-1,126,,-0.1865743086173967
layer_placebo,immune,all,all,-1,127,,0.0017436851272653897
layer_placebo,immune,all,all,-1,128,,0.07672214559967715
layer_placebo,immune,all,all,-1,129,,-0.06800371996335021
layer_placebo,immune,all,all,-1,130,,-0.05405423894522708
layer_placebo,immune,all,all,-1,131,,-0.3609428213439357
layer_placebo,immune,all,all,-1,132,,-0.39756020901650885
layer_placebo,immune,all,all,-1,133,,-0.237141177308093
layer_placebo,immune,all,all,-1,134,,-0.18831799374466207
layer_placebo,immune,all,all,-1,135,,-0.09415899687233104
layer_placebo,immune,all,all,-1,136,,-0.06626003483608481
layer_placebo,immune,all,all,-1,137,,-0.16565008709021203
layer_placebo,immune,all,all,-1,138,,-0.15518797632661968
layer_placebo,immune,all,all,-1,139,,-0.06974740509061558
layer_placebo,immune,all,all,-1,140,,-0.1534442911993543
layer_placebo,immune,all,all,-1,141,,-0.23539749218082762
layer_placebo,immune,all,all,-1,142,,-0.13949481018123117
layer_placebo,immune,all,all,-1,143,,-0.1499569209448235
layer_placebo,immune,all,all,-1,144,,-0.10810847789045416
layer_placebo,immune,all,all,-1,145,,-0.21272958552637752
layer_placebo,immune,all,all,-1,146,,-0.22842275167176604
layer_placebo,immune,all,all,-1,147,,-0.18831799374466207
layer_placebo,immune,all,all,-1,148,,-0.102877422508658
layer_placebo,immune,all,all,-1,149,,-0.1185705886540465
layer_placebo,immune,all,all,-1,150,,-0.3190943782895663
layer_placebo,immune,all,all,-1,151,,0.036617387672573186
layer_placebo,immune,all,all,-1,152,,-0.04010475792710397
