domain,seed_tag,layer,n_points,pca_dim,h1_sum_observed,h1_sum_null_mean,h1_sum_null_std,h1_sum_delta,h1_sum_z,h1_sum_p_perm,h1_max_observed,h1_count_observed,mle_intrinsic_dim,participation_ratio_dim,linearity_top5_ratio
immune,seed44,5,350,20,23.187838315963745,16.045146942138672,2.4889630529554956,7.142691373825073,2.869745841535818,0.047619047619047616,1.332387924194336,75,8.675137854440536,1.4285234877214965,0.9153265666922603
immune,seed42_main,6,350,20,36.03550124168396,16.034567409753798,2.8721913469692475,20.000933831930162,6.963649495731407,0.047619047619047616,1.8857169151306152,100,8.82788060441147,1.4149559657967878,0.9112084755448258
immune,seed43,6,350,20,27.290524005889893,16.650374311208726,2.709485736295567,10.640149694681167,3.9269997063359607,0.047619047619047616,1.0127167701721191,98,8.664478597078663,1.4313150347277175,0.9152850631705306
immune,seed44,6,350,20,30.111228466033936,17.452660810947418,2.787467860293165,12.658567655086518,4.541242548789044,0.047619047619047616,1.3987102508544922,87,8.238971088605256,1.5062201631153502,0.9076493108348012
immune,seed42_main,7,350,20,37.95773386955261,17.09111582636833,2.5246722342313466,20.866618043184282,8.265080017910595,0.047619047619047616,1.4388689994812012,99,8.56244315061011,1.4321707982770717,0.9154972963413501
immune,seed43,7,350,20,31.411807775497437,15.101129448413849,1.8120697577227134,16.310678327083586,9.001131578168717,0.047619047619047616,1.243278980255127,82,8.409859420798512,1.4698989693759423,0.9182517712378169
immune,seed44,7,350,20,33.978036880493164,16.22291414141655,1.7259585556211698,17.755122739076615,10.287108384476511,0.047619047619047616,1.5134062767028809,93,8.09192513515105,1.4138252856240425,0.9221798792370758
immune,seed42_main,8,350,20,29.8425395488739,14.894860768318177,1.951706397970281,14.947678780555725,7.658774285129213,0.047619047619047616,1.4528303146362305,92,8.404998329163915,1.381464400935185,0.9272898561890619
immune,seed43,8,350,20,29.508207082748413,17.39244704246521,3.3067464974817344,12.115760040283202,3.663951877123346,0.047619047619047616,1.6310458183288574,83,7.90151685302275,1.4338169869284294,0.9241848548949895
immune,seed44,8,350,20,22.833451986312866,12.730103409290313,1.8997428049228462,10.103348577022553,5.318271792120095,0.047619047619047616,1.2543425559997559,67,8.488541442980015,1.3365381271668748,0.9343101891452239
immune,seed42_main,9,350,20,26.01761484146118,12.334339457750321,1.6361980574215824,13.68327538371086,8.362847830849358,0.047619047619047616,1.219496726989746,91,9.253718832840232,1.245181279126704,0.9534064582678762
immune,seed43,9,350,20,28.605252504348755,15.528924077749252,2.6121825750719587,13.076328426599503,5.005901404588223,0.047619047619047616,1.0458974838256836,95,8.178930832447644,1.3154380804249257,0.9478291314103408
immune,seed44,9,350,20,23.945167064666748,11.521888300776482,1.2651924154458571,12.423278763890266,9.819280136684181,0.047619047619047616,1.4061031341552734,78,8.326004502047455,1.2478945195492366,0.9518652862915379
immune,seed42_main,10,350,20,18.410890340805054,10.420987644791603,1.5768443899292182,7.98990269601345,5.06702039971432,0.047619047619047616,0.6089668273925781,95,8.28897083517388,1.1405498039237358,0.9728065076321342
immune,seed43,10,350,20,21.88912606239319,11.583298826217652,2.077336289675523,10.305827236175537,4.961077935447907,0.047619047619047616,0.7823891639709473,96,8.539525271729236,1.1471855547864604,0.9711459882127937
immune,seed44,10,350,20,16.106707096099854,11.560237270593642,1.7782664518816322,4.546469825506211,2.5566864955129645,0.047619047619047616,0.9890933036804199,74,8.724438013653458,1.151465230496077,0.9721297349574044
immune,seed42_main,11,350,20,10.393490552902222,7.090027552843094,1.292698369731277,3.3034630000591276,2.5554785825175634,0.047619047619047616,0.5077271461486816,63,8.400165238695248,1.1023399954737296,0.981576691499762
immune,seed43,11,350,20,14.803678393363953,9.63394470512867,1.1909138331134543,5.169733688235283,4.340980464034797,0.047619047619047616,1.3517489433288574,80,7.638482481258028,1.1291944368208173,0.9769703066476321
immune,seed44,11,350,20,11.277222275733948,6.781109216809273,0.7739069131168832,4.496113058924675,5.809630301669106,0.047619047619047616,0.5653824806213379,66,8.503928256648294,1.092971916043444,0.9819865581439128
