domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,best_diffusion_t,best_diffusion_auc,best_baseline_auc,delta_best_diffusion_minus_baseline,p_random_label_upper,p_coexp_degree_matched_upper,null_random_mean,null_matched_mean,coexpression_abs_mean,coexpression_missing_fraction,auc_diffusion_t1,auc_diffusion_t2,auc_diffusion_t4,auc_diffusion_t8
external_lung,seed44,target_disjoint,7,1879,1072,280,24,24,True,1,0.5209905398657271,0.5090243485176348,0.011966191348092292,0.1652892561983471,0.768595041322314,0.004416116443803286,0.016641568528176963,0.03444760937236353,0.0,0.5209905398657271,0.5144497077807987,0.5140069864432485,0.5155784738019937
external_lung,seed44,target_disjoint,11,1879,1072,280,24,24,True,8,0.517928480275204,0.5121690571307034,0.005759423144500619,0.45454545454545453,0.9338842975206612,0.003734252375051625,0.015533840439993332,0.03444760937236353,0.0,0.5129984371821191,0.5151738981671568,0.5154530553551943,0.517928480275204
immune,seed42_main,source_disjoint,0,1403,335,280,24,24,True,1,0.6311783777740511,0.6003381966571636,0.030840181116887466,0.049586776859504134,0.14049586776859505,0.0060825553878547396,0.020206912534704746,0.0785759013814387,0.0,0.6311783777740511,0.629319693666499,0.6083640784839847,0.5911943093521158
immune,seed42_main,source_disjoint,3,1403,335,280,24,24,True,2,0.6186259712672592,0.5990287327407904,0.019597238526468774,0.1322314049586777,0.05785123966942149,0.006145536363128177,0.004907857715169473,0.0785759013814387,0.0,0.6143454077924981,0.6186259712672592,0.6084758790318072,0.600916764492146
immune,seed42_main,source_disjoint,7,1403,335,280,24,24,True,2,0.5889387332997931,0.5974188048521438,-0.008480071552350754,0.9008264462809917,0.5950413223140496,0.0066688677399519315,-0.00518773175321893,0.0785759013814387,0.0,0.530998099390687,0.5889387332997931,0.5852409301805579,0.5798884789535468
immune,seed42_main,source_disjoint,11,1403,335,280,24,24,True,1,0.5974285874000782,0.5999902174520656,-0.002561630051987396,0.859504132231405,0.14049586776859505,0.0072540387947900966,-0.012530663629418452,0.0785759013814387,0.0,0.5974285874000782,0.5950304656492816,0.5873693331097323,0.5787760635027112
immune,seed42_main,target_disjoint,0,1465,357,227,24,24,True,2,0.6220787954170838,0.5841638099283034,0.03791498548878036,0.024793388429752067,0.09090909090909091,0.007229675865532725,0.021908570889246186,0.06825953472612337,0.0,0.6087583047659497,0.6220787954170838,0.6092892030458392,0.5966677284632265
immune,seed42_main,target_disjoint,3,1465,357,227,24,24,True,2,0.6043417366946778,0.596794132815581,0.007547603879096809,0.4793388429752066,0.23140495867768596,0.006074129411090551,0.0020401030448280407,0.06825953472612337,0.0,0.5676313846838374,0.6043417366946778,0.5962012964030378,0.5763773018232564
immune,seed42_main,target_disjoint,7,1465,357,227,24,24,True,2,0.5914358523192671,0.5664368635540858,0.02499898876518125,0.0743801652892562,0.30578512396694213,0.005057575075758336,0.01828440010179763,0.06825953472612337,0.0,0.5785729454236568,0.5914358523192671,0.5900555167915541,0.5802098817866497
immune,seed42_main,target_disjoint,11,1465,357,227,24,24,True,2,0.599451152302076,0.5684479568000484,0.03100319550202757,0.03305785123966942,0.24793388429752067,0.003741221217728961,0.024232546508374714,0.06825953472612337,0.0,0.5977725025028062,0.599451152302076,0.5957500328651316,0.5845771521605032
immune,seed43,source_disjoint,0,1356,336,280,24,24,True,1,0.6180307539682539,0.6305949463118581,-0.012564192343604175,0.9917355371900827,0.9256198347107438,0.008884110936041075,4.1761496265185774e-05,0.07863770540281145,0.0,0.6180307539682539,0.6015420751633986,0.5841342787114845,0.5719114729225023
immune,seed43,source_disjoint,3,1356,336,280,24,24,True,2,0.5824127567693744,0.6162829715219421,-0.033870214752567684,1.0,1.0,0.005072070494864607,0.01971238669078742,0.07863770540281145,0.0,0.582046568627451,0.5824127567693744,0.570232259570495,0.5642083916900094
immune,seed43,source_disjoint,7,1356,336,280,24,24,True,1,0.5796831232492997,0.6120054271708684,-0.03232230392156865,1.0,1.0,0.006546099342514786,0.015239602785558677,0.07863770540281145,0.0,0.5796831232492997,0.5763786764705883,0.5689352824463119,0.5649932889822595
immune,seed43,source_disjoint,11,1356,336,280,24,24,True,1,0.6219873366013071,0.6168971755368815,0.0050901610644256134,0.4380165289256198,0.9173553719008265,0.0029550604964207884,0.01773015629863056,0.07863770540281145,0.0,0.6219873366013071,0.60859302054155,0.5984375,0.5893980508870215
immune,seed43,target_disjoint,0,1465,358,228,24,24,True,1,0.5994231730026797,0.6026391222943887,-0.003215949291708986,0.8264462809917356,0.5867768595041323,0.0054032847513453535,-0.0014560192544817987,0.06642949222917113,0.0,0.5994231730026797,0.5921055951714079,0.5831882434280581,0.5811519381488042
immune,seed43,target_disjoint,3,1465,358,228,24,24,True,1,0.5765847602610105,0.5808668049436546,-0.004282044682644148,0.7603305785123967,1.0,0.005208538351677766,0.022701008395869193,0.06642949222917113,0.0,0.5765847602610105,0.5663855707458378,0.5532227622090001,0.5411361422738995
immune,seed43,target_disjoint,7,1465,358,228,24,24,True,2,0.5733511478503984,0.5965667943457833,-0.02321564649538488,1.0,0.9917355371900827,0.006094837911445521,-0.0006063601526766355,0.06642949222917113,0.0,0.5676371288852553,0.5733511478503984,0.5699156712237513,0.5606021609564327
immune,seed43,target_disjoint,11,1465,358,228,24,24,True,1,0.590356946400004,0.5911593566587435,-0.0008024102587395054,0.7603305785123967,0.4462809917355372,0.004678581702018138,-0.0014843853823392288,0.06642949222917113,0.0,0.590356946400004,0.5863272319874037,0.5818635095103278,0.5698639435183924
immune,seed44,source_disjoint,0,1349,331,280,24,24,True,1,0.6361920476735972,0.617480516859668,0.018711530813929178,0.256198347107438,0.18181818181818182,0.007535409952180002,0.007879406830129174,0.07233182861212428,0.0,0.6361920476735972,0.6202642465826601,0.6081455255551137,0.5999100778138522
immune,seed44,source_disjoint,3,1349,331,280,24,24,True,2,0.6174820007241258,0.6209394049109979,-0.003457404186872015,0.7933884297520661,0.008264462809917356,0.005632984427337144,-0.02622667365072207,0.07233182861212428,0.0,0.5759649570569626,0.6174820007241258,0.6111444156244992,0.606348565696615
immune,seed44,source_disjoint,7,1349,331,280,24,24,True,2,0.6097050671003508,0.6119620249407938,-0.002256957840442997,0.8099173553719008,0.06611570247933884,0.006589520553501235,-0.017933825086014685,0.07233182861212428,0.0,0.5313273464348673,0.6097050671003508,0.6071364977237519,0.6054656663441734
immune,seed44,source_disjoint,11,1349,331,280,24,24,True,2,0.6157221374770744,0.6104009995310988,0.0053211379459755515,0.5950413223140496,0.05785123966942149,0.00813308582474176,-0.005151544603976357,0.07233182861212428,0.0,0.5973281536571324,0.6157221374770744,0.6011758141964281,0.5879887107592044
immune,seed44,target_disjoint,0,1467,358,228,24,24,True,2,0.6111424555818066,0.6111789774873937,-3.6521905587116876e-05,0.7272727272727273,0.23140495867768596,0.006559008904628294,-0.006450555636715358,0.0646678953393489,0.0,0.5884107177939761,0.6111424555818066,0.6052939131836523,0.5988610202961044
