domain,seed_tag,split_regime,layer,null_type,perm_idx,delta_best_diffusion_minus_baseline
external_lung,seed42_main,source_disjoint,0,random_label,61,0.007215315897104779
external_lung,seed42_main,source_disjoint,0,random_label,62,-0.019027822624044788
external_lung,seed42_main,source_disjoint,0,random_label,63,0.0103500699601764
external_lung,seed42_main,source_disjoint,0,random_label,64,0.02521526208158431
external_lung,seed42_main,source_disjoint,0,random_label,65,0.0030782477666559394
external_lung,seed42_main,source_disjoint,0,random_label,66,0.024430900871811434
external_lung,seed42_main,source_disjoint,0,random_label,67,-0.006082499192767266
external_lung,seed42_main,source_disjoint,0,random_label,68,0.00695161984716397
external_lung,seed42_main,source_disjoint,0,random_label,69,0.014401033257991636
external_lung,seed42_main,source_disjoint,0,random_label,70,0.006213001829727727
external_lung,seed42_main,source_disjoint,0,random_label,71,0.021776450328274688
external_lung,seed42_main,source_disjoint,0,random_label,72,-0.003765741039715831
external_lung,seed42_main,source_disjoint,0,random_label,73,0.017729523194489227
external_lung,seed42_main,source_disjoint,0,random_label,74,0.029948337100419775
external_lung,seed42_main,source_disjoint,0,random_label,75,0.0019561941663976956
external_lung,seed42_main,source_disjoint,0,random_label,76,-0.002945054353675647
external_lung,seed42_main,source_disjoint,0,random_label,77,-0.008104617371650025
external_lung,seed42_main,source_disjoint,0,random_label,78,-0.0030876654827250993
external_lung,seed42_main,source_disjoint,0,random_label,79,-0.0064941879237972455
external_lung,seed42_main,source_disjoint,0,random_label,80,0.005921052631578938
external_lung,seed42_main,source_disjoint,0,random_label,81,0.009906091916908832
external_lung,seed42_main,source_disjoint,0,random_label,82,-0.0022010547841997408
external_lung,seed42_main,source_disjoint,0,random_label,83,-0.0049469917124098095
external_lung,seed42_main,source_disjoint,0,random_label,84,0.00292218275750733
external_lung,seed42_main,source_disjoint,0,random_label,85,0.011780217414702476
external_lung,seed42_main,source_disjoint,0,random_label,86,0.009548218706274869
external_lung,seed42_main,source_disjoint,0,random_label,87,0.005097675169518867
external_lung,seed42_main,source_disjoint,0,random_label,88,0.004182811322785418
external_lung,seed42_main,source_disjoint,0,random_label,89,0.023285975675384762
external_lung,seed42_main,source_disjoint,0,random_label,90,0.003266602088042192
external_lung,seed42_main,source_disjoint,0,random_label,91,0.0025885265310515715
external_lung,seed42_main,source_disjoint,0,random_label,92,0.010062156926057442
external_lung,seed42_main,source_disjoint,0,random_label,93,0.012120600581207563
external_lung,seed42_main,source_disjoint,0,random_label,94,-0.01922963082553003
external_lung,seed42_main,source_disjoint,0,random_label,95,0.015500215262081563
external_lung,seed42_main,source_disjoint,0,random_label,96,0.017868098159509183
external_lung,seed42_main,source_disjoint,0,random_label,97,0.006257399634054472
external_lung,seed42_main,source_disjoint,0,random_label,98,0.0078113227854912926
external_lung,seed42_main,source_disjoint,0,random_label,99,0.011081961037563204
external_lung,seed42_main,source_disjoint,0,random_label,100,0.014261112904961792
external_lung,seed42_main,source_disjoint,0,random_label,101,0.0318803142826391
external_lung,seed42_main,source_disjoint,0,random_label,102,-0.007750780325045836
external_lung,seed42_main,source_disjoint,0,random_label,103,-0.0008906468625551334
external_lung,seed42_main,source_disjoint,0,random_label,104,0.003777849531804933
external_lung,seed42_main,source_disjoint,0,random_label,105,0.003897589064686291
external_lung,seed42_main,source_disjoint,0,random_label,106,-0.003468410289527435
external_lung,seed42_main,source_disjoint,0,random_label,107,-0.005693682057905491
external_lung,seed42_main,source_disjoint,0,random_label,108,0.02039608223011513
external_lung,seed42_main,source_disjoint,0,random_label,109,0.010909751372295717
external_lung,seed42_main,source_disjoint,0,random_label,110,-0.001182596060703922
external_lung,seed42_main,source_disjoint,0,random_label,111,0.040299752448606174
external_lung,seed42_main,source_disjoint,0,random_label,112,-0.0004466688192874546
external_lung,seed42_main,source_disjoint,0,random_label,113,0.009376009041007327
external_lung,seed42_main,source_disjoint,0,random_label,114,0.03472715531159176
external_lung,seed42_main,source_disjoint,0,random_label,115,0.017507534172855443
external_lung,seed42_main,source_disjoint,0,random_label,116,-0.00038074480680228007
external_lung,seed42_main,source_disjoint,0,random_label,117,0.006500914863846685
external_lung,seed42_main,source_disjoint,0,random_label,118,-0.0058174577548164574
external_lung,seed42_main,source_disjoint,0,random_label,119,0.017698579270261527
external_lung,seed42_main,source_disjoint,3,coexpression_degree_matched_label,0,0.024494134108276833
external_lung,seed42_main,source_disjoint,3,coexpression_degree_matched_label,1,0.01349424173931768
external_lung,seed42_main,source_disjoint,3,coexpression_degree_matched_label,2,0.011961844796039234
external_lung,seed42_main,source_disjoint,3,coexpression_degree_matched_label,3,0.030444785276073638
