null_kind,domain,split_regime,perm_idx,null_delta_auc
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,16,0.015510263567977134
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,17,0.02155293220776011
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,18,0.0117938541911905
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,19,0.023408334174149892
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,20,0.0215136940997096
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,21,0.018240114799493168
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,22,0.015442998239890482
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,23,0.008666016435161739
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,24,0.020829829930828936
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,25,0.011014697474186819
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,26,0.01872218298411421
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,27,0.025336606912633508
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,28,0.022853395217435013
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,29,0.01493290283523363
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,30,0.029097859841477947
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,31,0.01281965044451161
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,0,-0.024632314297495905
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,1,-0.02050065087848385
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,2,-0.006209623299024081
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,3,-0.016211321242895038
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,4,-0.01757371906305838
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,5,-0.01290033069478247
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,6,-0.0042286887830592645
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,7,-0.01173602632621551
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,8,-0.017577761786560342
label_shuffle_within_geodesic_bins,external_lung,source_disjoint,9,-0.013102466869880813
