perm_idx,domain,null_cycle_return_rate,null_edge_auc
62,immune,0.015384615384615385,0.5980820649938297
62,lung,0.015384615384615385,0.5891947200086735
63,external_lung,0.03076923076923077,0.579280239883955
63,immune,0.03076923076923077,0.5980763517528224
63,lung,0.03076923076923077,0.5891913319238902
64,external_lung,0.03076923076923077,0.5796076988027452
64,immune,0.03076923076923077,0.5980729238082179
64,lung,0.03076923076923077,0.5891642272456226
65,external_lung,0.023076923076923078,0.5793478966853579
65,immune,0.023076923076923078,0.5980774944010239
65,lung,0.023076923076923078,0.5892184366021576
66,external_lung,0.015384615384615385,0.579694299508541
66,immune,0.015384615384615385,0.5980803510215275
66,lung,0.015384615384615385,0.5890591966173362
67,external_lung,0.03076923076923077,0.5796455866115309
67,immune,0.03076923076923077,0.5980712098359158
67,lung,0.03076923076923077,0.5889880468368841
68,external_lung,0.015384615384615385,0.5795643984498473
68,immune,0.015384615384615385,0.5980614973262032
68,lung,0.015384615384615385,0.5890219276847185
69,external_lung,0.023076923076923078,0.5798783260083569
69,immune,0.023076923076923078,0.5980889208830384
69,lung,0.023076923076923078,0.5890151515151516
70,external_lung,0.015384615384615385,0.57925588343545
70,immune,0.015384615384615385,0.59809006353124
70,lung,0.015384615384615385,0.5891235702282214
71,external_lung,0.011538461538461539,0.5796645305159237
71,immune,0.011538461538461539,0.5980912061794416
71,lung,0.011538461538461539,0.5891167940586546
72,external_lung,0.023076923076923078,0.5792071705384398
72,immune,0.023076923076923078,0.5980700671877143
72,lung,0.023076923076923078,0.5891438987369221
73,external_lung,0.015384615384615385,0.579234233259001
73,immune,0.015384615384615385,0.5980752091046209
73,lung,0.015384615384615385,0.5891574510760558
74,external_lung,0.015384615384615385,0.5795102730087249
74,immune,0.015384615384615385,0.5980797796974268
74,lung,0.015384615384615385,0.5890320919390687
75,external_lung,0.015384615384615385,0.5797240685011582
75,immune,0.015384615384615385,0.5980523561405915
75,lung,0.015384615384615385,0.5890863012956036
76,external_lung,0.015384615384615385,0.5798945636406937
76,immune,0.015384615384615385,0.5980774944010239
76,lung,0.015384615384615385,0.5892387651108582
77,external_lung,0.019230769230769232,0.5794696789278831
77,immune,0.019230769230769232,0.5980763517528223
77,lung,0.019230769230769232,0.5890998536347374
78,external_lung,0.03461538461538462,0.5797673688540561
78,immune,0.03461538461538462,0.5980694958636136
78,lung,0.03461538461538462,0.5892726459586926
79,external_lung,0.023076923076923078,0.5795833423542401
79,immune,0.023076923076923078,0.5980769230769231
79,lung,0.023076923076923078,0.5891405106521386
80,external_lung,0.03076923076923077,0.5797051245967655
80,immune,0.03076923076923077,0.5980934914758445
80,lung,0.03076923076923077,0.5891913319238902
81,external_lung,0.023076923076923078,0.57953462945723
81,immune,0.023076923076923078,0.5980712098359158
81,lung,0.023076923076923078,0.5890049872608012
82,external_lung,0.015384615384615385,0.5797971378466735
82,immune,0.015384615384615385,0.5980769230769231
82,lung,0.015384615384615385,0.5891405106521386
83,external_lung,0.015384615384615385,0.5796347615233064
83,immune,0.015384615384615385,0.59809006353124
83,lung,0.015384615384615385,0.5890930774651706
84,external_lung,0.015384615384615385,0.5794236723029292
84,immune,0.015384615384615385,0.5980712098359158
84,lung,0.015384615384615385,0.5890998536347374
85,external_lung,0.019230769230769232,0.5796915932364848
