domain,seed_tag,split_regime,perm_idx,null_breakpoint,null_improvement
external_lung,seed42_main,target_disjoint,31,8.0,0.000328120543881806
external_lung,seed42_main,target_disjoint,32,2.0,0.0006095500248745867
external_lung,seed42_main,target_disjoint,33,6.0,0.0017380305148161656
external_lung,seed42_main,target_disjoint,34,2.0,0.0013827688880123175
external_lung,seed42_main,target_disjoint,35,2.0,0.0016656392538344355
external_lung,seed42_main,target_disjoint,36,2.0,0.0007937224754228662
external_lung,seed42_main,target_disjoint,37,8.0,0.0008674912312221755
external_lung,seed42_main,target_disjoint,38,9.0,0.0010252549326469906
external_lung,seed42_main,target_disjoint,39,4.0,0.0008607948759065775
external_lung,seed42_main,target_disjoint,40,9.0,0.000790410701314556
external_lung,seed42_main,target_disjoint,41,2.0,0.0011302771742696342
external_lung,seed42_main,target_disjoint,42,8.0,0.0009474163001628177
external_lung,seed42_main,target_disjoint,43,1.0,0.0008182081097298222
external_lung,seed42_main,target_disjoint,44,8.0,0.0007913614038415817
external_lung,seed42_main,target_disjoint,45,8.0,0.0011712514113677958
external_lung,seed42_main,target_disjoint,46,1.0,0.001232680883737679
external_lung,seed42_main,target_disjoint,47,5.0,0.0005976688480684648
external_lung,seed42_main,target_disjoint,48,4.0,0.0015178639202288772
external_lung,seed42_main,target_disjoint,49,6.0,0.001462565243475746
external_lung,seed42_main,target_disjoint,50,9.0,0.001386581672229021
external_lung,seed42_main,target_disjoint,51,7.0,0.0010576701770988915
external_lung,seed42_main,target_disjoint,52,2.0,0.000645491240869756
external_lung,seed42_main,target_disjoint,53,5.0,0.0010531014495331126
external_lung,seed42_main,target_disjoint,54,2.0,0.0011078468808166653
external_lung,seed42_main,target_disjoint,55,7.0,0.0010629380795756525
external_lung,seed42_main,target_disjoint,56,3.0,0.001482133087501833
external_lung,seed42_main,target_disjoint,57,2.0,0.0008393641541241611
external_lung,seed42_main,target_disjoint,58,9.0,0.0007544608439647282
external_lung,seed42_main,target_disjoint,59,2.0,0.0014774214588455716
external_lung,seed42_main,target_disjoint,60,4.0,0.0017504186933464541
external_lung,seed42_main,target_disjoint,61,5.0,0.0009080781761538897
external_lung,seed42_main,target_disjoint,62,1.0,0.0007577736912081127
external_lung,seed42_main,target_disjoint,63,5.0,0.0005229309681344563
external_lung,seed42_main,target_disjoint,64,7.0,0.0007046286575613588
external_lung,seed42_main,target_disjoint,65,9.0,0.0005976481062476469
external_lung,seed42_main,target_disjoint,66,9.0,0.0012467561738907808
external_lung,seed42_main,target_disjoint,67,3.0,0.0013235430884833027
external_lung,seed42_main,target_disjoint,68,6.0,0.0008066097029154774
external_lung,seed42_main,target_disjoint,69,1.0,0.0011388286188107972
external_lung,seed42_main,target_disjoint,70,4.0,0.0017986193439909269
