domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_gain_logloss,null_gain_brier
external_lung,seed44,source_disjoint,7,79,0.0011750154607296226,0.0008571889881904271,0.0003179283369765251
external_lung,seed44,source_disjoint,11,0,0.00026986001011986005,0.0007347208727731536,0.0003392416695926215
external_lung,seed44,source_disjoint,11,1,-5.903187721356673e-05,0.00031924656165105425,0.00012198087252690559
external_lung,seed44,source_disjoint,11,2,-3.0921459492794234e-05,1.596128111724937e-05,2.145563067412759e-05
external_lung,seed44,source_disjoint,11,3,0.0018609096531173597,0.0009156946860630066,0.0002492127559741708
external_lung,seed44,source_disjoint,11,4,0.003142744701186251,0.0023600688986358254,0.0012474867142160673
external_lung,seed44,source_disjoint,11,5,0.0006043739809973303,0.00040386549764348523,0.00023243869239106263
external_lung,seed44,source_disjoint,11,6,0.0020183279923539077,0.00086141632752601,0.0003675926467282542
external_lung,seed44,source_disjoint,11,7,0.001801877775903793,0.0011560025317605138,0.00041872266784254153
external_lung,seed44,source_disjoint,11,8,0.0013464890088268344,0.0022088996775402325,0.0009326927335031876
external_lung,seed44,source_disjoint,11,9,0.0002305054253105565,0.0006510769114226322,0.00021040772674157937
external_lung,seed44,source_disjoint,11,10,0.0006662168999831408,0.0006964572496223065,8.749225565182761e-05
external_lung,seed44,source_disjoint,11,11,7.589812784614125e-05,0.000591442389923702,0.00016395613777572815
external_lung,seed44,source_disjoint,11,12,0.004382414122673817,0.005224516854850592,0.002022428992521641
external_lung,seed44,source_disjoint,11,13,0.0006184291898578831,0.0011185757281448883,0.0004844491215160174
external_lung,seed44,source_disjoint,11,14,-3.3732501264926995e-05,0.0008261728719293204,0.0002745588758395201
external_lung,seed44,source_disjoint,11,15,0.0002839152189801908,0.00016027396478535127,0.00011922702573285981
external_lung,seed44,source_disjoint,11,16,1.1244167088308998e-05,0.00018727769009185824,4.0048900439543234e-05
external_lung,seed44,source_disjoint,11,17,0.0003232698037892723,0.0004841836961126944,0.00018917082148661724
external_lung,seed44,source_disjoint,11,18,0.0006915162759317806,0.0004489988131163303,0.00021538560292858056
external_lung,seed44,source_disjoint,11,19,0.0002979704278405215,0.0002424347625550327,7.301689910396703e-05
external_lung,seed44,source_disjoint,11,20,4.4976668353347016e-05,0.0006700696340032897,0.00021872968437258722
external_lung,seed44,source_disjoint,11,21,1.4055208860330737e-05,0.0006714100398432787,0.00026528746616466536
external_lung,seed44,source_disjoint,11,22,0.00015460729746452628,0.0002864976860084134,-5.880848225189861e-05
external_lung,seed44,source_disjoint,11,23,0.0004357114746724733,0.000481578537283478,0.00021787649530616293
external_lung,seed44,source_disjoint,11,24,0.0001068195873390465,0.0003399371616015223,0.00017306976650421912
external_lung,seed44,source_disjoint,11,25,0.0008433125316241741,0.0012461384840065648,0.0005004735922073678
external_lung,seed44,source_disjoint,11,26,0.00037105751391464104,0.0015290693841091274,0.0005795202512889897
external_lung,seed44,source_disjoint,11,27,0.0010710069151627089,0.0008808265216508904,0.0004904507639401368
external_lung,seed44,source_disjoint,11,28,0.0009726204531399496,0.0010141557693176262,0.0005112362795923475
external_lung,seed44,source_disjoint,11,29,0.0004160341822680991,0.0005472756773761134,0.00036072891919283756
external_lung,seed44,source_disjoint,11,30,0.0010963062911115706,0.0006780819036327213,0.00024618126873246493
external_lung,seed44,source_disjoint,11,31,9.838646202287027e-05,0.00014398382643066032,6.17370338207579e-05
external_lung,seed44,source_disjoint,11,32,0.0009416989936470443,0.0011082428872680739,0.0008342710521339058
external_lung,seed44,source_disjoint,11,33,0.0007308708607409731,0.0003925712496650746,8.106826583198501e-05
external_lung,seed44,source_disjoint,11,34,0.00337606116826894,0.0038688633279241325,0.0015445854772755951
external_lung,seed44,source_disjoint,11,35,0.0008067689885871143,0.0006341386214886446,0.0003055242243129308
external_lung,seed44,source_disjoint,11,36,0.003210209703716216,0.0026470366811303103,0.0012378018217465425
external_lung,seed44,source_disjoint,11,37,0.00019115084050147502,0.00019491555281914152,4.839593088221128e-05
external_lung,seed44,source_disjoint,11,38,0.0018721538202057797,0.003046080199513801,0.0013752897682163534
external_lung,seed44,source_disjoint,11,39,0.0031174453252375,0.0028934446081779752,0.001403754925665246
external_lung,seed44,source_disjoint,11,40,0.004784393096081474,0.005451743140257426,0.0022025649416715642
external_lung,seed44,source_disjoint,11,41,0.0001630404227805915,0.000386517139645437,0.00012946512589703807
external_lung,seed44,source_disjoint,11,42,0.00010963062911117927,0.0002354702662170638,8.203582094995499e-05
external_lung,seed44,source_disjoint,11,43,0.0010681958733906871,0.0010600499523940599,0.0004885279231968964
external_lung,seed44,source_disjoint,11,44,0.001520773598695735,0.0011986832846136997,0.0006699558797648719
external_lung,seed44,source_disjoint,11,45,0.00044414459998876055,0.0009235007018399966,0.000291076086627734
external_lung,seed44,source_disjoint,11,46,0.001000730870860722,0.0022328915732690024,0.0006835141066531825
external_lung,seed44,source_disjoint,11,47,0.0005650193961882488,0.0012891651564025386,0.0005098859151165813
external_lung,seed44,source_disjoint,11,48,0.00017709563164114428,0.00020678316457156676,8.011648494474222e-05
external_lung,seed44,source_disjoint,11,49,0.0015854275594534561,0.0014403276181335078,0.0005773923010550797
external_lung,seed44,source_disjoint,11,50,0.0006381064822622573,0.0006521406685323639,0.0002270868304689866
external_lung,seed44,source_disjoint,11,51,-0.00019115084050147502,6.560819609946478e-05,5.860047415878755e-05
external_lung,seed44,source_disjoint,11,52,0.0008292573227637323,0.0010949253969624317,0.0005032958643754193
external_lung,seed44,source_disjoint,11,53,0.0008123910721312688,0.0009221319698936581,0.0003108305247981613
external_lung,seed44,source_disjoint,11,54,0.0017259796480576517,0.0010541288165343277,0.00037946721416179385
external_lung,seed44,source_disjoint,11,55,0.001554506099960662,0.0019858663337716242,0.0008289905263569042
external_lung,seed44,source_disjoint,11,56,0.00010119750379489201,6.586264297303579e-05,-6.137782313675455e-06
external_lung,seed44,source_disjoint,11,57,0.0005846966885928451,0.0011355410677204025,0.00040827980629726257
external_lung,seed44,source_disjoint,11,58,0.0019621071569123627,0.002047693241097215,0.0009357695698495871
external_lung,seed44,source_disjoint,11,59,0.0010794400404789961,0.001465864224260427,0.0004487657042200055
external_lung,seed44,source_disjoint,11,60,0.0008095800303592471,0.0005540782619030127,0.0002472277685169333
external_lung,seed44,source_disjoint,11,61,5.3409793669634276e-05,0.0007507011752075909,0.0002516291748896893
external_lung,seed44,source_disjoint,11,62,0.002038005284758615,0.0034163293669843275,0.0015254905763693594
external_lung,seed44,source_disjoint,11,63,0.00019396188227360778,0.0006457744386917375,0.0004157883660422246
external_lung,seed44,source_disjoint,11,64,0.0024399842581659392,0.001829780619654997,0.0006805463937060163
external_lung,seed44,source_disjoint,11,65,0.0005397200202394981,0.0007841282534462035,0.00022589459209895746
external_lung,seed44,source_disjoint,11,66,0.00024456063417099827,3.840998059367884e-05,6.088068688681059e-06
external_lung,seed44,source_disjoint,11,67,0.003210209703716327,0.002823562429251858,0.0014261310890912315
external_lung,seed44,source_disjoint,11,68,8.995333670647199e-05,0.00011332222429238925,5.5221437632924086e-05
external_lung,seed44,source_disjoint,11,69,0.0003317029291054485,0.0005517658154382543,0.0002458190130504023
external_lung,seed44,source_disjoint,11,70,0.00032045876201725054,0.0001892607272248048,0.00011820578041843444
external_lung,seed44,source_disjoint,11,71,0.0013071344240174199,0.0006297763470519691,0.00025902347849748875
external_lung,seed44,source_disjoint,11,72,0.0003232698037892723,0.000435712880521133,0.00023737585855515553
external_lung,seed44,source_disjoint,11,73,0.0017653342328667332,0.00229884671178604,0.0009357055936521363
external_lung,seed44,source_disjoint,11,74,0.0018215550683083892,0.001585647169656701,0.0005875954192368082
external_lung,seed44,source_disjoint,11,75,0.00040479001517956803,0.00048797781146714403,0.00026264765105979415
external_lung,seed44,source_disjoint,11,76,0.00021082813290607127,0.00012685574386472886,4.529041935760758e-05
external_lung,seed44,source_disjoint,11,77,0.0016641367290717302,0.0013872152116006786,0.0005362428697653632
external_lung,seed44,source_disjoint,11,78,0.0005003654354303055,0.0005854486067079501,0.0002968798054194255
external_lung,seed44,source_disjoint,11,79,0.00021645021645022577,7.571807415207576e-05,2.0727775517204172e-05
external_lung,seed44,target_disjoint,0,0,0.0004902028664406366,0.00037180200322822765,0.0003566084030204586
external_lung,seed44,target_disjoint,0,1,0.0002714117565604246,0.0004435497285802392,8.383072076662001e-05
external_lung,seed44,target_disjoint,0,2,2.2156061759925905e-05,5.114929948951685e-05,1.7052611324147593e-05
external_lung,seed44,target_disjoint,0,3,0.00015232292460010122,0.00018378083524506206,0.0001029442540817771
external_lung,seed44,target_disjoint,0,4,3.7388354220180275e-05,0.00027925518663307614,1.2116003910100925e-05
external_lung,seed44,target_disjoint,0,5,0.0006342172678807101,0.0009799418220169942,0.0002835310287035153
external_lung,seed44,target_disjoint,0,6,0.0001772484940801844,0.0006357550080768881,3.715682072782944e-05
external_lung,seed44,target_disjoint,0,7,0.0006702208682407562,0.0012369500966512015,0.00035644544573501524
external_lung,seed44,target_disjoint,0,8,0.00033787994184031334,0.0006722831332602874,0.00018050307058667392
external_lung,seed44,target_disjoint,0,9,0.00013986013986000412,0.0001957056305924021,5.324768137374147e-05
external_lung,seed44,target_disjoint,0,10,0.0009471716402409402,0.001434108152182867,0.00046524517790846875
external_lung,seed44,target_disjoint,0,11,0.000714532991760719,0.0008418520528925555,0.0002870960367011288
external_lung,seed44,target_disjoint,0,12,0.0002935678183203505,0.00034020537495171865,0.00020560504530198198
external_lung,seed44,target_disjoint,0,13,0.00018832652496025837,0.0003048057411694227,3.480863550175961e-06
external_lung,seed44,target_disjoint,0,14,3.0464584920064652e-05,8.52692261492094e-05,3.026101072786669e-05
external_lung,seed44,target_disjoint,0,15,0.0011244201343210136,0.0015993367826715454,0.0008559971816426981
external_lung,seed44,target_disjoint,0,16,0.0007782316693207836,0.0008320776094002946,0.0003680304248312172
external_lung,seed44,target_disjoint,0,17,0.0004306584504604194,0.0006057613234589088,0.0002145018618088801
external_lung,seed44,target_disjoint,0,18,0.00022433012532019347,0.000557171152713809,7.02494858617897e-05
external_lung,seed44,target_disjoint,0,19,0.00017170947864020292,5.500541647984747e-05,6.624067802019074e-05
external_lung,seed44,target_disjoint,0,20,0.0007685383923008438,0.0010583498262068392,0.0003745424934550601
external_lung,seed44,target_disjoint,0,21,0.0003364951879802902,0.00046846065510092183,0.00020645387231929546
external_lung,seed44,target_disjoint,0,22,0.00015232292460010122,0.00014351718961685966,0.00011709239583820863
external_lung,seed44,target_disjoint,0,23,4.154261580069374e-06,4.979396871551689e-06,6.119636296569864e-06
external_lung,seed44,target_disjoint,0,24,-4.015786194000448e-05,0.0001388487437801733,-5.114493247787566e-05
external_lung,seed44,target_disjoint,0,25,0.0004334279581803546,0.00045398213997732695,0.00022363080983614503
external_lung,seed44,target_disjoint,0,26,0.0011147268573010738,0.0013318051475393333,0.0006839805398080323
external_lung,seed44,target_disjoint,0,27,0.0010981098109811294,0.0018537734194151168,0.0007327317182733162
external_lung,seed44,target_disjoint,0,28,0.0001509381707400781,0.00017830382424360858,8.618917323802155e-05
external_lung,seed44,target_disjoint,0,29,9.693277020017543e-05,0.0001331335973455694,-4.8417052545074446e-05
external_lung,seed44,target_disjoint,0,30,0.001255971751021323,0.0011418553130658204,0.0008652247733001439
external_lung,seed44,target_disjoint,0,31,0.00010801080108013839,0.00010538675134108555,2.914807976026057e-05
external_lung,seed44,target_disjoint,0,32,5.5390154400036806e-05,0.00022021444601227902,2.6893307394720845e-05
external_lung,seed44,target_disjoint,0,33,0.0005829813750606316,0.0005542018687877959,0.0003246731799042557
external_lung,seed44,target_disjoint,0,34,-1.9386554039990678e-05,4.774247118088937e-06,-2.779609134115346e-05
external_lung,seed44,target_disjoint,0,35,0.002455168593782475,0.002590571935750352,0.0014161175702196716
external_lung,seed44,target_disjoint,0,36,0.0002741812642803598,0.0006342118554597542,0.0001993270831938121
external_lung,seed44,target_disjoint,0,37,0.0016741674167417564,0.0025477097611437682,0.0007537284234422625
external_lung,seed44,target_disjoint,0,38,0.00033095617254041976,0.0009388009825853638,0.0001210697080620271
external_lung,seed44,target_disjoint,0,39,0.0006688361143807331,0.0004148038786260799,0.00040853619289879517
external_lung,seed44,target_disjoint,0,40,0.000736689053520756,0.0011142459872600652,0.0004539531270827679
external_lung,seed44,target_disjoint,0,41,0.0002783355258603182,0.00029577701169924975,0.00015535438200861562
external_lung,seed44,target_disjoint,0,42,0.0002589489718202165,0.0004848193485278429,1.2691117617313896e-05
external_lung,seed44,target_disjoint,0,43,0.00021602160216027677,0.00032151677545277924,0.0001949395963530276
external_lung,seed44,target_disjoint,0,44,0.00017447898636024917,9.805529508588595e-05,3.8682888659907766e-05
external_lung,seed44,target_disjoint,0,45,0.00010108703178013378,0.0002658008023327385,0.00010402803422443485
external_lung,seed44,target_disjoint,0,46,0.00022986914076017495,0.0002601948535677634,6.120222114847085e-05
external_lung,seed44,target_disjoint,0,47,0.0002381776639203137,0.00036259168020164045,0.00011094052851148839
external_lung,seed44,target_disjoint,0,48,0.0008460846084610285,0.0013272835204078404,0.0004198512050318237
external_lung,seed44,target_disjoint,0,49,0.0008266980544207048,0.0013497527134686549,0.00024229178160323217
external_lung,seed44,target_disjoint,0,50,0.0001980198019801982,0.0002656576326715565,0.00015507959889476952
external_lung,seed44,target_disjoint,0,51,0.0015758498926815578,0.0026149642291529718,0.0009350029486500377
external_lung,seed44,target_disjoint,0,52,-4.708163124000908e-05,9.097306704963781e-05,-3.2896211270033726e-05
external_lung,seed44,target_disjoint,0,53,0.0003628055113203965,0.00046535652967111263,0.00017637724901967133
external_lung,seed44,target_disjoint,0,54,0.00011908883196021236,0.0002487656045471187,4.816778293714741e-05
external_lung,seed44,target_disjoint,0,55,0.0003143391262203643,0.0003645476085295529,0.00013870379148320233
external_lung,seed44,target_disjoint,0,56,0.0001897112788202815,0.00020738287187471727,9.052675713558389e-05
external_lung,seed44,target_disjoint,0,57,0.00010385653950006901,0.00022801431792635052,0.00014804589545766578
external_lung,seed44,target_disjoint,0,58,0.0007117634840408948,0.0007648960328942578,0.00026975099564205407
external_lung,seed44,target_disjoint,0,59,0.0015730803849615116,0.0014162110313213905,0.0007452134446657155
external_lung,seed44,target_disjoint,0,60,0.0011244201343211246,0.0017708823878984647,0.0007053834716509444
external_lung,seed44,target_disjoint,0,61,0.00037111403448042424,0.0005952247466823324,0.00017068273431250502
