domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,coexp_missing_fraction,auc_geodesic_diffusion_base,auc_with_detour_convexity,delta_auc_incremental,gain_logloss_incremental,gain_brier_incremental,mean_detour_ratio,mean_convexity_deficit,p_delta_auc_upper,p_gain_logloss_upper,p_gain_brier_upper
immune,seed42_main,source_disjoint,11,1340,321,260,24,24,True,0.0,0.7837596568622955,0.7846370670653227,0.000877410203027118,0.0008391908594356234,0.0002822511496734792,0.9723880597092759,0.9465461938468575,0.4567901234567901,0.3333333333333333,0.37037037037037035
immune,seed42_main,target_disjoint,0,1465,357,227,24,24,True,0.0,0.7866648464439927,0.7903128760529483,0.0036480296089556052,0.004842983416933955,0.0019866127129655187,0.9631399318430092,0.9363385639258499,0.08641975308641975,0.012345679012345678,0.012345679012345678
immune,seed42_main,target_disjoint,3,1465,357,227,24,24,True,0.0,0.7944462983749456,0.7949114663916107,0.000465168016665074,0.0011206774369115213,0.00046295842708896084,1.4213871897907684,0.9468777999755716,0.43209876543209874,0.18518518518518517,0.2345679012345679
immune,seed42_main,target_disjoint,7,1465,357,227,24,24,True,0.0,0.7904873140591977,0.7919005147185227,0.0014132006593250424,0.0006124890694376717,0.00010745149583799019,1.3751256669641718,0.9474055988179657,0.18518518518518517,0.3333333333333333,0.5308641975308642
immune,seed42_main,target_disjoint,11,1465,357,227,24,24,True,0.0,0.7869581045414555,0.7926690531808391,0.005710948639383595,0.004120845073905255,0.001457453868922265,0.9631399318227426,0.9382642047206742,0.04938271604938271,0.024691358024691357,0.024691358024691357
immune,seed43,source_disjoint,0,1296,319,260,24,24,True,0.0,0.8225775918219358,0.8248075645809736,0.0022299727590378016,0.0036927434368259626,0.0019759202694964173,0.9714506173139695,0.9408269890981305,0.5308641975308642,0.08641975308641975,0.024691358024691357
immune,seed43,source_disjoint,3,1296,319,260,24,24,True,0.0,0.8222310636809631,0.8271017092179694,0.004870645537006335,0.005103789520502777,0.0025207589574251232,0.9714506173061543,0.9448749083274756,0.12345679012345678,0.012345679012345678,0.012345679012345678
immune,seed43,source_disjoint,7,1296,319,260,24,24,True,0.0,0.8214995042722428,0.8239861645431122,0.002486660270869412,0.003054982898088421,0.001850936624727323,0.9714506173127618,0.9403432074316913,0.14814814814814814,0.07407407407407407,0.024691358024691357
immune,seed43,source_disjoint,11,1296,319,260,24,24,True,0.0,0.820418208128652,0.8210599269082309,0.0006417187795789703,0.0010568020875407202,0.0006913114916080043,0.9714506172944333,0.9428758522100025,0.5308641975308642,0.2716049382716049,0.1111111111111111
immune,seed43,target_disjoint,0,1465,358,228,24,24,True,0.0,0.7992990265098183,0.7990946389910828,-0.00020438751873552707,0.0002719900476190751,8.612735250956849e-05,1.486392917631197,0.9423300682383091,0.8641975308641975,0.7530864197530864,0.9012345679012346
