domain,seed_tag,layer,sample_size,pca_dim,bootstrap_idx,h1_observed,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_delta_z,p_h1_upper
immune,seed42_main,4,120,10,2,5.306024074554443,3.310392454266548,1.0491192145014643,1.9956316202878952,1.9021971867458467,0.04
immune,seed42_main,4,120,10,3,7.356024265289307,6.467026238640149,1.7929901798856018,0.8889980266491575,0.4958186810649791,0.32
immune,seed42_main,4,120,14,0,4.401136875152588,3.6864951898654303,0.8151780125937131,0.7146416852871575,0.8766694800030964,0.24
immune,seed42_main,4,120,14,1,13.784565448760986,4.587797999382019,1.610981931768546,9.196767449378967,5.708796146195073,0.04
immune,seed42_main,4,120,14,2,7.61340069770813,4.895295361677806,1.4728293874826546,2.718105336030324,1.8454991170637784,0.08
immune,seed42_main,4,120,14,3,7.001046657562256,4.410097738107045,1.406200524005632,2.5909489194552107,1.8425173887947692,0.04
immune,seed42_main,4,180,10,0,12.863492965698242,10.198552141586939,2.2676178267464455,2.6649408241113033,1.1752160313361606,0.16
immune,seed42_main,4,180,10,1,11.484960556030273,6.446886107325554,1.458620228775466,5.0380744487047195,3.45400012001771,0.04
immune,seed42_main,4,180,10,2,10.022417068481445,7.106109355886777,1.1223182557287044,2.9163077125946684,2.598467676267714,0.08
immune,seed42_main,4,180,10,3,9.91199517250061,8.92210660626491,1.3741004364765668,0.9898885662357007,0.7203902562272357,0.2
immune,seed42_main,4,180,14,0,18.476705074310303,7.812033871809642,1.278238276783151,10.66467120250066,8.343257581830832,0.04
immune,seed42_main,4,180,14,1,15.766246795654297,7.374068781733513,1.758951634034119,8.392178013920784,4.771124939861123,0.04
immune,seed42_main,4,180,14,2,10.671152353286743,7.929571022590001,1.7832179051874213,2.741581330696742,1.537434836866535,0.12
immune,seed42_main,4,180,14,3,12.563819408416748,8.495580608646074,1.6881818719246655,4.068238799770674,2.409834428989996,0.08
immune,seed42_main,5,120,10,0,12.530964851379395,3.567926824092865,0.902137570741679,8.96303802728653,9.935333931367438,0.04
immune,seed42_main,5,120,10,1,6.053139686584473,2.289047891894976,0.6590741294030001,3.7640917946894965,5.7111812177909185,0.04
immune,seed42_main,5,120,10,2,9.266834259033203,4.715403765439987,0.8615088637300331,4.551430493593216,5.28309188672072,0.04
immune,seed42_main,5,120,10,3,6.923955202102661,3.7713979333639145,0.9229912018255143,3.1525572687387466,3.415587558243194,0.04
immune,seed42_main,5,120,14,0,8.697749137878418,4.265776654084523,1.1274429343278067,4.431972483793895,3.930994948764558,0.04
immune,seed42_main,5,120,14,1,6.7264509201049805,3.298091242710749,1.077371645448892,3.4283596773942313,3.182151385452174,0.04
immune,seed42_main,5,120,14,2,10.125571727752686,5.560036296645801,1.60747966789732,4.565535431106885,2.8401823795623473,0.04
immune,seed42_main,5,120,14,3,7.54240083694458,4.415844023227692,1.2793879819985063,3.1265568137168884,2.4437909807384353,0.08
immune,seed42_main,5,180,10,0,12.59597134590149,8.11777044336001,1.6977467858353865,4.478200902541479,2.6377319263780676,0.04
immune,seed42_main,5,180,10,1,13.715524673461914,9.205154173076153,1.7350471988632952,4.510370500385761,2.5995664560255967,0.04
immune,seed42_main,5,180,10,2,12.117787599563599,7.599305639664332,1.2936011202322726,4.518481959899266,3.4929483947841677,0.04
immune,seed42_main,5,180,10,3,13.673045635223389,6.7128254398703575,1.6604430972578819,6.960220195353031,4.191784833009704,0.04
immune,seed42_main,5,180,14,0,17.59680199623108,10.541727175315222,1.6478879687459336,7.055074820915857,4.281283042562406,0.04
immune,seed42_main,5,180,14,1,13.69037938117981,7.417474016547203,2.0489437536823423,6.2729053646326065,3.0615312647296777,0.04
immune,seed42_main,5,180,14,2,12.315267562866211,7.225984628001849,1.7048184897372143,5.089282934864362,2.9852344765826677,0.04
immune,seed42_main,5,180,14,3,14.409957647323608,7.900730058550835,1.381288561904681,6.509227588772774,4.71243139455572,0.04
immune,seed42_main,6,120,10,0,9.176375389099121,4.952655866742134,1.3189067582738863,4.223719522356987,3.202439818173593,0.04
immune,seed42_main,6,120,10,1,4.663627624511719,3.9998657753070197,0.8823547768165407,0.663761849204699,0.7522618632464735,0.24
immune,seed42_main,6,120,10,2,5.8999550342559814,3.9788547108570733,1.0163382582713143,1.9211003233989081,1.890217460450896,0.08
immune,seed42_main,6,120,10,3,4.701237678527832,3.1332156459490457,1.2035648600581161,1.5680220325787864,1.3028147325606174,0.08
