domain,seed_tag,split_regime,layer,n_edges,positive_rate,n_unique_genes,pca_dim,knn_k,used_component_bridging,auc_euclidean,auc_geodesic,delta_auc_geodesic_minus_euclidean,null_delta_mean,null_delta_std,delta_auc_z_vs_null,p_delta_upper,p_delta_two_sided,p_euclidean_upper,p_geodesic_upper
immune,seed42_main,target_disjoint,8,1465,0.24368600682593858,227,14,35,True,0.5507311227740193,0.5699319438966922,0.019200821122672962,-0.00043952057357238755,0.004509086250206589,4.355724475135296,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,8,1465,0.24368600682593858,227,14,35,True,0.5438307091789785,0.573571125200983,0.0297404160220045,0.00011915506274711857,0.005235193608284112,5.658101212204229,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,8,1465,0.24368600682593858,227,14,35,True,0.5659021731436257,0.5815699926179858,0.015667819474360134,-0.0003193732366592858,0.004974875904703162,3.213585585586129,0.009950248756218905,0.009950248756218905,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,9,1465,0.24368600682593858,227,14,35,True,0.5460212966052848,0.5539000798875506,0.007878783282265878,-0.0003014174984072959,0.004026298434947062,2.0316921065709876,0.01990049751243781,0.03980099502487562,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,9,1465,0.24368600682593858,227,14,35,True,0.5416957396677082,0.5664292792929446,0.02473353962523639,0.0001454977297778376,0.005682354352232042,4.327086282240394,0.004975124378109453,0.004975124378109453,0.014925373134328358,0.004975124378109453
immune,seed44,target_disjoint,9,1465,0.24368600682593858,227,14,35,True,0.5588753551962301,0.5746126970643852,0.01573734186815512,-1.7254194096405494e-05,0.0043031804415169465,3.661150773298036,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,10,1465,0.24368600682593858,227,14,35,True,0.5499158147013318,0.5603429097270677,0.01042709502573591,3.471063515659345e-05,0.0047125074229152335,2.205276565670395,0.014925373134328358,0.029850746268656716,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,10,1465,0.24368600682593858,227,14,35,True,0.55047831406931,0.5531846312532234,0.0027063171839133426,9.811505829769391e-05,0.00391778329222383,0.6657339789718665,0.23880597014925373,0.48258706467661694,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,10,1465,0.24368600682593858,227,14,35,True,0.5596186127880756,0.5760916279869348,0.016473015198859242,-0.00026575883060804827,0.004853382699845705,3.448887428784878,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,11,1465,0.24368600682593858,227,14,35,True,0.5674114411107403,0.5759020214584029,0.00849058034766259,-0.00032877140025685674,0.0031655135858530015,2.7860720615011556,0.014925373134328358,0.014925373134328358,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,11,1465,0.24368600682593858,227,14,35,True,0.5629834966477566,0.5828820697954272,0.01989857314767063,-0.0001543523546602732,0.004875226012635326,4.113229076381246,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,11,1465,0.24368600682593858,227,14,35,True,0.5769966831497941,0.5830185864959703,0.006021903346176138,-0.00011279692382367229,0.00454739963603518,1.349056474458467,0.07960199004975124,0.17412935323383086,0.004975124378109453,0.004975124378109453
