domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_sparse_descriptor_blend,delta_auc_sparse_descriptor_blend_minus_h70,descriptor_nonzero_count,q95_null_delta_auc,null_gap_q95_delta_auc,p_feature_shuffle_upper,p_endpoint_swap_upper,p_label_shuffle_upper,p_best_upper
immune,seed43,target_disjoint,7,300,76,0.8902725563909774,0.9668703007518797,0.07659774436090239,2,0.030135397086466134,0.04646234727443625,0.2,0.2,0.2,0.2
immune,seed43,target_disjoint,11,300,76,0.8762335526315789,0.9758576127819549,0.09962406015037606,3,0.013922991071428541,0.08570106907894752,0.2,0.2,0.2,0.2
immune,seed44,source_disjoint,0,300,77,0.9110709917884805,0.9683769145652554,0.05730592277677493,2,0.10732921786733432,-0.05002329509055939,0.2,0.2,0.6,0.2
immune,seed44,source_disjoint,3,300,77,0.8996563974142449,0.9627860928309359,0.063129695416691,1,0.10942868790402409,-0.04629899248733309,0.2,0.2,0.4,0.2
immune,seed44,source_disjoint,7,300,77,0.9359385009609225,0.9757148680915497,0.039776367130627266,3,0.040890163648011194,-0.0011137965173839276,0.2,0.2,0.4,0.2
immune,seed44,source_disjoint,11,300,77,0.8592394152932268,0.9612719119445576,0.10203249665133085,4,0.03796808572593326,0.0640644109253976,0.2,0.2,0.2,0.2
immune,seed44,target_disjoint,0,300,74,0.8880052618990673,0.9721358526668261,0.08413059076775886,3,0.08190923224109059,0.002221358526668271,0.2,0.2,0.4,0.2
immune,seed44,target_disjoint,3,300,74,0.8832815116000957,0.9498325759387706,0.06655106433867486,3,-0.0028252810332456643,0.06937634537192053,0.2,0.2,0.2,0.2
immune,seed44,target_disjoint,7,300,74,0.9001435063381966,0.9677110739057643,0.06756756756756765,3,0.03527266204257354,0.032294905524994116,0.2,0.2,0.2,0.2
immune,seed44,target_disjoint,11,300,74,0.9012198038746712,0.9686677828270749,0.06744797895240373,2,0.011686797416885865,0.055761181535517866,0.2,0.2,0.2,0.2
lung,seed42_main,source_disjoint,0,300,149,0.8211476065602916,0.9233299257744788,0.10218231921418719,3,0.038712831681408044,0.06346948753277915,0.2,0.2,0.2,0.2
lung,seed42_main,source_disjoint,3,300,149,0.8072803235699364,0.9499088848393261,0.14262856126938972,4,0.02863460598248811,0.11399395528690161,0.2,0.2,0.2,0.2
lung,seed42_main,source_disjoint,7,300,149,0.819103071247611,0.9413751722298769,0.12227210098226593,5,0.09366638517267435,0.028605715809591578,0.2,0.2,0.2,0.2
lung,seed42_main,source_disjoint,11,300,149,0.816125161118272,0.9305302457887018,0.11440508467042976,1,0.009155962487221551,0.1052491221832082,0.2,0.2,0.2,0.2
lung,seed42_main,target_disjoint,0,300,191,0.8744896488784283,0.9412555838416831,0.06676593496325478,3,0.0482720111436668,0.018493923819587983,0.2,0.2,0.4,0.2
lung,seed42_main,target_disjoint,3,300,191,0.8512416542581296,0.9405831211873769,0.08934146692924727,1,0.05325904222104809,0.03608242470819918,0.2,0.2,0.4,0.2
lung,seed42_main,target_disjoint,7,300,191,0.8574859503338296,0.9361640808876508,0.07867813055382122,2,0.08416830779576343,-0.005490177241942201,0.2,0.2,0.6,0.2
lung,seed42_main,target_disjoint,11,300,191,0.844565060761804,0.9268937028675729,0.08232864210576885,3,0.05529444257649255,0.027034199529276298,0.2,0.2,0.4,0.2
lung,seed43,source_disjoint,0,300,152,0.8545963726884779,0.9437233285917496,0.08912695590327169,2,0.03935810810810804,0.04976884779516365,0.2,0.2,0.2,0.2
lung,seed43,source_disjoint,3,300,152,0.8440167140825036,0.9288762446657184,0.08485953058321483,4,0.050852373755334364,0.03400715682788046,0.2,0.2,0.2,0.2
lung,seed43,source_disjoint,7,300,152,0.8537073257467994,0.9298541963015647,0.07614687055476532,4,0.05130356507823616,0.02484330547652916,0.2,0.2,0.2,0.2
lung,seed43,source_disjoint,11,300,152,0.8796674964438123,0.9289206970128023,0.049253200568990074,4,0.03432499110953054,0.014928209459459538,0.2,0.2,0.2,0.2
lung,seed43,target_disjoint,0,300,198,0.8635868488809666,0.9458803723509605,0.08229352346999386,2,0.04656738958209543,0.03572613388789843,0.2,0.2,0.2,0.2
lung,seed43,target_disjoint,3,300,198,0.8498712616359675,0.9495444642503467,0.09967320261437917,3,0.08877376708259055,0.010899435531788626,0.2,0.2,0.4,0.2
