domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc_bif_minus_distance
immune,seed42_main,source_disjoint,11,30,0.0033299508651996046
immune,seed42_main,source_disjoint,11,31,-0.0070684682760094875
immune,seed42_main,source_disjoint,11,32,-0.002042832728049726
immune,seed42_main,source_disjoint,11,33,-0.0047132023071992935
immune,seed42_main,source_disjoint,11,34,-0.002689062166203904
immune,seed42_main,source_disjoint,11,35,-0.0008331553086948773
immune,seed42_main,target_disjoint,0,0,-0.001634061788915897
immune,seed42_main,target_disjoint,0,1,-0.007834333623493839
immune,seed42_main,target_disjoint,0,2,-0.00595019929445173
immune,seed42_main,target_disjoint,0,3,-0.009077060521372582
immune,seed42_main,target_disjoint,0,4,-0.011451795177226942
immune,seed42_main,target_disjoint,0,5,-0.016882759884546683
immune,seed42_main,target_disjoint,0,6,-0.007444907683144764
