domain,split_regime,layer,diffusion_t,source,target,source_idx,target_idx,label,diffusion_score,geodesic_score,euclidean_score,prior_support_count,dorothea_support,go_shared,source_is_tf,trrust_support_bookkeeping,source_degree,target_degree,mean_degree
external_lung,source_disjoint,3,1,BRD7,E2F3,319,220,1,-0.22443434898296594,-5.249274012478984,-5.249274012478984,1,0,1,0,1,6.0,6.0,6.0
external_lung,source_disjoint,3,1,BRD7,FOXP2,319,1118,0,-0.26435111345513734,-10.220328577897634,-10.220328577897634,1,0,1,0,0,6.0,5.0,5.5
external_lung,source_disjoint,3,1,BRD7,NR1H3,319,1540,0,-0.24618041805189164,-8.483999016949223,-8.483999016949223,1,0,1,0,0,6.0,8.0,7.0
external_lung,source_disjoint,3,1,BRD7,SMAD4,319,2751,0,-0.22691512697209307,-5.399004233318532,-5.399004233318532,1,0,1,0,0,6.0,12.0,9.0
external_lung,source_disjoint,3,1,BRD7,SNAI2,319,7025,0,-0.2687881523090837,-10.093815964432167,-10.093815964432167,1,0,1,0,0,6.0,19.0,12.5
external_lung,source_disjoint,3,1,BRIP1,BARD1,41,3474,1,-1.0156648247309694,-19.839686195831483,-19.839686195831483,1,0,1,0,1,5.0,6.0,5.5
external_lung,source_disjoint,3,1,BRIP1,ESRRG,41,1966,0,-1.0123550044686378,-20.082446366624087,-20.082446366624087,1,0,1,0,0,5.0,9.0,7.0
external_lung,source_disjoint,3,1,BRIP1,GABPA,41,2927,0,-1.0191147066366193,-20.301316293993334,-20.301316293993334,1,0,1,0,0,5.0,7.0,6.0
external_lung,source_disjoint,3,1,BRIP1,IL10,41,3082,0,-1.4142135623730951,-5.583955767541137e-15,-5.583955767541137e-15,1,0,1,0,0,5.0,16.0,10.5
external_lung,source_disjoint,3,1,BRIP1,SRF,41,3254,0,-1.014699014273268,-20.29454279683021,-20.29454279683021,1,0,1,0,0,5.0,8.0,6.5
external_lung,source_disjoint,3,1,BRPF1,BCL6,1535,513,0,-0.24545625441097593,-10.023187941559412,-10.023187941559412,1,0,1,0,0,2.0,12.0,7.0
external_lung,source_disjoint,3,1,BRPF1,CDKN1A,1535,307,0,-0.2528492523127547,-11.627535033237784,-11.627535033237784,1,0,1,0,0,2.0,60.0,31.0
external_lung,source_disjoint,3,1,BTAF1,EGR3,1035,36,0,-0.2679003331594926,-10.182456672508184,-10.182456672508184,1,0,1,0,0,4.0,6.0,5.0
external_lung,source_disjoint,3,1,BTAF1,FOXM1,1035,3659,0,-1.015133988014203,-20.327959116834997,-20.327959116834997,1,0,1,0,0,4.0,6.0,5.0
external_lung,source_disjoint,3,1,BTAF1,HOXA4,1035,3725,0,-1.015133988014203,-20.327959116834997,-20.327959116834997,0,0,0,0,0,4.0,11.0,7.5
external_lung,source_disjoint,3,1,BTAF1,SERPINE1,1035,5289,0,-0.2638671303210312,-11.382578924174815,-11.382578924174815,0,0,0,0,0,4.0,14.0,9.0
